params,mean_test_score,dataset,model_file_name,pipeline,region,with_distance,model_name
{},0.0272484686328347,ManDist,martin_models/test_16.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",africa,False,"LassoCV(max_iter=100000, tol=0.001)"
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-0.117201929317186,ManDist,martin_models/test_37.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",americas,False,RandomForestRegressor()
{},-0.0041102802206533,EucDist,martin_models/test_9.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",europe,False,"LassoCV(max_iter=100000, tol=0.001)"
{},-0.0175802175664303,ManDist,martin_models/test_19.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",europe,False,"LassoCV(max_iter=100000, tol=0.001)"
{},-0.041165520956934,ManDist,martin_models/test_17.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",americas,False,"LassoCV(max_iter=100000, tol=0.001)"
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.0265768741603218,ManDist,martin_models/test_36.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",africa,False,RandomForestRegressor()
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-0.1838065786280811,EucDist,martin_models/test_28.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",asia,False,RandomForestRegressor()
{},0.0554603108465775,CosDist,martin_models/test_1.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",africa,False,"LassoCV(max_iter=100000, tol=0.001)"
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-0.0327824758646112,HetDist,martin_models/test_34.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",europe,False,RandomForestRegressor()
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.0390507606720972,CosDist,martin_models/test_21.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",africa,False,RandomForestRegressor()
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-0.0708994868360244,ManDist,martin_models/test_40.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",oceania,False,RandomForestRegressor()
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-0.3199613603680197,EucDist,martin_models/test_30.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",oceania,False,RandomForestRegressor()
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.0334722284448713,EucDist,martin_models/test_26.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",africa,False,RandomForestRegressor()
{},-0.0414921835144187,EucDist,martin_models/test_7.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",americas,False,"LassoCV(max_iter=100000, tol=0.001)"
{},0.0764869212067707,HetDist,martin_models/test_11.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",africa,False,"LassoCV(max_iter=100000, tol=0.001)"
{},-0.1631483237106808,EucDist,martin_models/test_8.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",asia,False,"LassoCV(max_iter=100000, tol=0.001)"
{},0.0100731267019855,ManDist,martin_models/test_20.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",oceania,False,"LassoCV(max_iter=100000, tol=0.001)"
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.0030079701806471,CosDist,martin_models/test_24.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",europe,False,RandomForestRegressor()
{},-0.0752204126328845,HetDist,martin_models/test_13.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('Lasso_regressor', LassoCV(max_iter=100000, tol=0.001))])",asia,False,"LassoCV(max_iter=100000, tol=0.001)"
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",-0.4993675174687115,HetDist,martin_models/test_35.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",oceania,False,RandomForestRegressor()
"{'rf__max_depth': None, 'rf__max_features': 1.0, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.0836190720020241,HetDist,martin_models/test_31.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()),
                ('rf', RandomForestRegressor())])",africa,False,RandomForestRegressor()
