user_loc,fr_loc,scaled_sci,region
AR,CH,3379,Americas
AR,CI,906,Americas
AR,CL,18643,Americas
AR,CM,673,Americas
AR,CO,8548,Americas
AR,CR,7421,Americas
AR,CV,1027,Americas
AR,CW,3060,Americas
AR,CY,1130,Americas
AR,CZ,514,Americas
AR,DE,1442,Americas
AR,DJ,257,Americas
AR,DK,2096,Americas
AR,DO,8529,Americas
AR,DZ,1013,Americas
AR,EC,7662,Americas
AR,EE,532,Americas
AR,EG,590,Americas
AR,ES,15275,Americas
AR,ET,200,Americas
AR,FI,625,Americas
AR,FJ,211,Americas
AR,FM,97,Americas
AR,FR,1320,Americas
AR,GA,529,Americas
AR,GB,889,Americas
AR,GD,867,Americas
AR,GE,372,Americas
AR,GF,1519,Americas
AR,GH,1051,Americas
AR,GM,2655,Americas
AR,GN,470,Americas
AR,GP,956,Americas
AR,GQ,2884,Americas
AR,GR,1098,Americas
AR,GT,4826,Americas
AR,GU,283,Americas
AR,GW,776,Americas
AR,GY,1143,Americas
AR,HK,346,Americas
AR,HN,5543,Americas
AR,HR,1135,Americas
AR,HT,2543,Americas
AR,HU,579,Americas
AR,ID,191,Americas
AR,IE,1732,Americas
AR,IM,725,Americas
AR,IN,144,Americas
AR,IS,1487,Americas
AR,IT,4058,Americas
AR,JE,686,Americas
AR,JM,878,Americas
AR,JO,510,Americas
AR,JP,417,Americas
AR,KE,428,Americas
AR,KG,129,Americas
AR,KH,109,Americas
AR,KI,244,Americas
AR,KM,166,Americas
AR,KR,343,Americas
AR,KW,435,Americas
AR,KY,2487,Americas
AR,KZ,312,Americas
AR,LA,104,Americas
AR,LB,789,Americas
AR,LC,628,Americas
AR,LK,346,Americas
AR,LR,795,Americas
AR,LS,161,Americas
AR,LT,480,Americas
AR,LU,2136,Americas
AR,LV,531,Americas
AR,LY,299,Americas
AR,MA,2176,Americas
AR,MD,282,Americas
AR,ME,1366,Americas
AR,MG,539,Americas
AR,MK,672,Americas
AR,ML,500,Americas
AR,MM,81,Americas
AR,MN,180,Americas
AR,MO,294,Americas
AR,MQ,625,Americas
AR,MR,407,Americas
AR,MT,2688,Americas
AR,MU,466,Americas
AR,MV,472,Americas
AR,MW,189,Americas
AR,MX,5546,Americas
AR,MY,218,Americas
AR,MZ,797,Americas
AR,,368,Americas
AR,NC,383,Americas
AR,NE,375,Americas
AR,NG,612,Americas
AR,NI,6314,Americas
AR,NL,1217,Americas
AR,NO,802,Americas
AR,NP,131,Americas
AR,NZ,2728,Americas
AR,OM,365,Americas
AR,PA,6770,Americas
AR,PE,11511,Americas
AR,PF,556,Americas
AR,PG,217,Americas
AR,PH,478,Americas
AR,PK,490,Americas
AR,PL,369,Americas
AR,PR,4145,Americas
AR,PT,2462,Americas
AR,PY,191952,Americas
AR,QA,543,Americas
AR,RE,328,Americas
AR,RO,631,Americas
AR,RS,935,Americas
AR,RW,347,Americas
AR,SA,368,Americas
AR,SB,222,Americas
AR,SC,439,Americas
AR,SE,1058,Americas
AR,SG,376,Americas
AR,SI,1258,Americas
AR,SK,439,Americas
AR,SL,907,Americas
AR,SN,1566,Americas
AR,SR,799,Americas
AR,ST,1115,Americas
AR,SV,5133,Americas
AR,SZ,227,Americas
AR,TD,236,Americas
AR,TG,832,Americas
AR,TH,123,Americas
AR,TJ,233,Americas
AR,TL,364,Americas
AR,TN,1708,Americas
AR,TO,221,Americas
AR,TR,408,Americas
AR,TT,1536,Americas
AR,TW,233,Americas
AR,TZ,338,Americas
AR,UA,427,Americas
AR,UG,685,Americas
AR,US,1488,Americas
AR,UY,62303,Americas
AR,UZ,158,Americas
AR,VC,475,Americas
AR,VN,247,Americas
AR,VU,100,Americas
AR,WS,184,Americas
AR,XK,369,Americas
AR,YT,198,Americas
AR,ZA,250,Americas
AR,ZM,369,Americas
AR,ZW,192,Americas
AW,AE,3359,Americas
AW,AG,174684,Americas
AW,AL,910,Americas
AW,AM,269,Americas
AW,AO,1214,Americas
