user_loc,fr_loc,scaled_sci,region
AT,CR,2275,Europe
AT,CV,3928,Europe
AT,CW,3786,Europe
AT,CY,15231,Europe
AT,CZ,20745,Europe
AT,DE,94662,Europe
AT,DJ,6750,Europe
AT,DK,13630,Europe
AT,DO,4096,Europe
AT,DZ,776,Europe
AT,EC,830,Europe
AT,EE,8845,Europe
AT,EG,2370,Europe
AT,ES,8224,Europe
AT,ET,1988,Europe
AT,FI,10308,Europe
AT,FJ,713,Europe
AT,FM,469,Europe
AT,FR,6431,Europe
AT,GA,938,Europe
AT,GB,9074,Europe
AT,GD,2729,Europe
AT,GE,7893,Europe
AT,GF,1075,Europe
AT,GH,2239,Europe
AT,GM,16002,Europe
AT,GN,1525,Europe
AT,GP,1563,Europe
AT,GQ,1963,Europe
AT,GR,17363,Europe
AT,GT,578,Europe
AT,GU,1275,Europe
AT,GW,3802,Europe
AT,GY,347,Europe
AT,HK,2169,Europe
AT,HN,411,Europe
AT,HR,120554,Europe
AT,HT,335,Europe
AT,HU,138438,Europe
AT,ID,344,Europe
AT,IE,11662,Europe
AT,IM,6688,Europe
AT,IN,312,Europe
AT,IS,25700,Europe
AT,IT,17629,Europe
AT,JE,8251,Europe
AT,JM,2005,Europe
AT,JO,3331,Europe
AT,JP,1518,Europe
AT,KE,2119,Europe
AT,KG,1776,Europe
AT,KH,488,Europe
AT,KI,214,Europe
AT,KM,147,Europe
AT,KR,1145,Europe
AT,KW,2352,Europe
AT,KY,11591,Europe
AT,KZ,1336,Europe
AT,LA,373,Europe
AT,LB,8423,Europe
AT,LC,2326,Europe
AT,LK,1216,Europe
AT,LR,1204,Europe
AT,LS,307,Europe
AT,LT,6246,Europe
AT,LU,53894,Europe
AT,LV,10714,Europe
AT,LY,1107,Europe
AT,MA,1330,Europe
AT,MD,14191,Europe
AT,ME,65760,Europe
AT,MG,723,Europe
AT,MK,126223,Europe
AT,ML,815,Europe
AT,MM,150,Europe
AT,MN,6279,Europe
AT,MO,1839,Europe
AT,MQ,1278,Europe
AT,MR,496,Europe
AT,MT,24663,Europe
AT,MU,2342,Europe
AT,MV,3329,Europe
AT,MW,405,Europe
AT,MX,692,Europe
AT,MY,634,Europe
AT,MZ,448,Europe
AT,,3420,Europe
AT,NC,1151,Europe
AT,NE,637,Europe
AT,NG,1853,Europe
AT,NI,765,Europe
AT,NL,17798,Europe
AT,NO,12104,Europe
AT,NP,842,Europe
AT,NZ,5253,Europe
AT,OM,1658,Europe
AT,PA,1172,Europe
AT,PE,812,Europe
AT,PF,1462,Europe
AT,PG,329,Europe
AT,PH,1365,Europe
AT,PK,1124,Europe
AT,PL,15110,Europe
AT,PR,839,Europe
AT,PT,9027,Europe
AT,PY,1114,Europe
AT,QA,3203,Europe
AT,RE,1217,Europe
AT,RO,91149,Europe
AT,RS,221432,Europe
AT,RW,836,Europe
AT,SA,1817,Europe
AT,SB,240,Europe
AT,SC,7151,Europe
AT,SE,16537,Europe
AT,SG,2811,Europe
AT,SI,176074,Europe
AT,SK,72087,Europe
AT,SL,1715,Europe
AT,SN,1362,Europe
AT,SR,616,Europe
AT,ST,1055,Europe
AT,SV,461,Europe
AT,SZ,380,Europe
AT,TD,445,Europe
AT,TG,1344,Europe
AT,TH,1083,Europe
AT,TJ,2371,Europe
AT,TL,284,Europe
AT,TN,4520,Europe
AT,TO,789,Europe
AT,TR,14259,Europe
AT,TT,1131,Europe
AT,TW,904,Europe
