user_loc,fr_loc,scaled_sci,region
AM,CF,402,Asia
AM,CG,719,Asia
AM,CH,4228,Asia
AM,CI,561,Asia
AM,CL,177,Asia
AM,CM,341,Asia
AM,CO,172,Asia
AM,CR,245,Asia
AM,CV,202,Asia
AM,CW,359,Asia
AM,CY,12136,Asia
AM,CZ,3903,Asia
AM,DE,7085,Asia
AM,DJ,194,Asia
AM,DK,1907,Asia
AM,DO,280,Asia
AM,DZ,492,Asia
AM,EC,174,Asia
AM,EE,8063,Asia
AM,EG,491,Asia
AM,ES,3258,Asia
AM,ET,187,Asia
AM,FI,1317,Asia
AM,FJ,148,Asia
AM,FM,319,Asia
AM,FR,7055,Asia
AM,GA,221,Asia
AM,GB,1011,Asia
AM,GD,354,Asia
AM,GE,73449,Asia
AM,GF,246,Asia
AM,GH,932,Asia
AM,GM,1689,Asia
AM,GN,378,Asia
AM,GP,503,Asia
AM,GQ,768,Asia
AM,GR,9406,Asia
AM,GT,83,Asia
AM,GU,259,Asia
AM,GW,203,Asia
AM,GY,177,Asia
AM,HK,310,Asia
AM,HN,98,Asia
AM,HR,1282,Asia
AM,HT,303,Asia
AM,HU,844,Asia
AM,ID,82,Asia
AM,IE,989,Asia
AM,IM,231,Asia
AM,IN,288,Asia
AM,IS,1256,Asia
AM,IT,1560,Asia
AM,JE,1052,Asia
AM,JM,240,Asia
AM,JO,2038,Asia
AM,JP,267,Asia
AM,KE,282,Asia
AM,KG,4071,Asia
AM,KH,101,Asia
AM,KI,116,Asia
AM,KM,139,Asia
AM,KR,312,Asia
AM,KW,3468,Asia
AM,KY,1286,Asia
AM,KZ,8515,Asia
AM,LA,96,Asia
AM,LB,30863,Asia
AM,LC,223,Asia
AM,LK,484,Asia
AM,LR,735,Asia
AM,LS,74,Asia
AM,LT,4315,Asia
AM,LU,6813,Asia
AM,LV,7941,Asia
AM,LY,209,Asia
AM,MA,506,Asia
AM,MD,5765,Asia
AM,ME,3237,Asia
AM,MG,248,Asia
AM,MK,1884,Asia
AM,ML,237,Asia
AM,MM,56,Asia
AM,MN,510,Asia
AM,MO,223,Asia
AM,MQ,149,Asia
AM,MR,173,Asia
AM,MT,4509,Asia
AM,MU,329,Asia
AM,MV,1103,Asia
AM,MW,150,Asia
AM,MX,149,Asia
AM,MY,145,Asia
AM,MZ,192,Asia
AM,,494,Asia
AM,NC,188,Asia
AM,NE,221,Asia
AM,NG,447,Asia
AM,NI,125,Asia
AM,NL,5433,Asia
AM,NO,1302,Asia
AM,NP,122,Asia
AM,NZ,381,Asia
AM,OM,798,Asia
AM,PA,203,Asia
AM,PE,160,Asia
AM,PF,898,Asia
AM,PG,221,Asia
AM,PH,210,Asia
AM,PK,338,Asia
AM,PL,2460,Asia
AM,PR,269,Asia
AM,PT,959,Asia
AM,PY,156,Asia
AM,QA,1704,Asia
AM,RE,144,Asia
AM,RO,1134,Asia
AM,RS,1712,Asia
AM,RW,413,Asia
AM,SA,377,Asia
AM,SB,243,Asia
AM,SC,612,Asia
AM,SE,5449,Asia
AM,SG,420,Asia
AM,SI,1103,Asia
AM,SK,1209,Asia
AM,SL,784,Asia
AM,SN,360,Asia
AM,SR,210,Asia
AM,ST,132,Asia
AM,SV,102,Asia
AM,SZ,165,Asia
AM,TD,144,Asia
AM,TG,495,Asia
AM,TH,119,Asia
AM,TJ,8378,Asia
AM,TL,127,Asia
AM,TN,628,Asia
AM,TO,208,Asia
AM,TR,1370,Asia
AM,TT,223,Asia
AM,TW,124,Asia
AM,TZ,282,Asia
AM,UA,14340,Asia
AM,UG,467,Asia
AM,US,3644,Asia
AM,UY,975,Asia
AM,UZ,6464,Asia
AM,VC,375,Asia
AM,VN,85,Asia
AM,VU,167,Asia
AM,WS,85,Asia
AM,XK,776,Asia
AM,YT,97,Asia
AM,ZA,113,Asia
AM,ZM,252,Asia
AM,ZW,182,Asia
AZ,AE,2948,Asia
AZ,AG,505,Asia
AZ,AL,1300,Asia
AZ,AM,158036,Asia
AZ,AO,910,Asia
AZ,AR,234,Asia
AZ,AT,2578,Asia
AZ,AU,443,Asia
AZ,AW,328,Asia
AZ,AZ,7487254,Asia
AZ,BA,3537,Asia
AZ,BB,261,Asia
AZ,BD,637,Asia
AZ,BE,1411,Asia
AZ,BF,1133,Asia
AZ,BG,2950,Asia
AZ,BH,1514,Asia
AZ,BI,643,Asia
AZ,BJ,4939,Asia
AZ,BN,709,Asia
AZ,BO,194,Asia
AZ,BR,264,Asia
AZ,BS,475,Asia
AZ,BT,169,Asia
AZ,BW,548,Asia
AZ,BY,18325,Asia
AZ,BZ,203,Asia
AZ,CA,1133,Asia
AZ,CD,824,Asia
AZ,CF,1043,Asia
AZ,CG,1107,Asia
AZ,CH,2662,Asia
AZ,CI,1974,Asia
AZ,CL,180,Asia
AZ,CM,1956,Asia
AZ,CO,269,Asia
AZ,CR,255,Asia
AZ,CV,591,Asia
AZ,CW,250,Asia
AZ,CY,9649,Asia
AZ,CZ,2334,Asia
AZ,DE,4767,Asia
AZ,DJ,805,Asia
AZ,DK,839,Asia
AZ,DO,645,Asia
AZ,DZ,656,Asia
AZ,EC,223,Asia
AZ,EE,9022,Asia
AZ,EG,627,Asia
AZ,ES,678,Asia
AZ,ET,710,Asia
AZ,FI,1108,Asia
AZ,FJ,183,Asia
AZ,FM,132,Asia
AZ,FR,1041,Asia
AZ,GA,862,Asia
AZ,GB,1038,Asia
AZ,GD,336,Asia
AZ,GE,57903,Asia
AZ,GF,268,Asia
AZ,GH,3314,Asia
AZ,GM,4783,Asia
AZ,GN,1003,Asia
AZ,GP,166,Asia
AZ,GQ,1357,Asia
AZ,GR,1246,Asia
AZ,GT,154,Asia
AZ,GU,199,Asia
AZ,GW,715,Asia
AZ,GY,339,Asia
AZ,HK,358,Asia
AZ,HN,275,Asia
AZ,HR,954,Asia
AZ,HT,558,Asia
AZ,HU,2393,Asia
AZ,ID,308,Asia
AZ,IE,726,Asia
AZ,IM,225,Asia
AZ,IN,228,Asia
AZ,IS,1624,Asia
AZ,IT,1076,Asia
AZ,JE,323,Asia
AZ,JM,511,Asia
AZ,JO,803,Asia
AZ,JP,262,Asia
AZ,KE,1111,Asia
AZ,KG,15115,Asia
AZ,KH,251,Asia
AZ,KI,147,Asia
AZ,KM,249,Asia
AZ,KR,425,Asia
AZ,KW,1023,Asia
AZ,KY,814,Asia
AZ,KZ,19147,Asia
AZ,LA,283,Asia
AZ,LB,1359,Asia
AZ,LC,255,Asia
AZ,LK,741,Asia
AZ,LR,2674,Asia
AZ,LS,346,Asia
AZ,LT,3924,Asia
AZ,LU,6105,Asia
AZ,LV,7209,Asia
AZ,LY,560,Asia
AZ,MA,828,Asia
AZ,MD,6530,Asia
AZ,ME,5549,Asia
AZ,MG,1084,Asia
AZ,MK,2348,Asia
AZ,ML,1007,Asia
AZ,MM,115,Asia
AZ,MN,1091,Asia
AZ,MO,281,Asia
AZ,MQ,140,Asia
AZ,MR,649,Asia
AZ,MT,2567,Asia
AZ,MU,569,Asia
AZ,MV,1653,Asia
AZ,MW,451,Asia
AZ,MX,185,Asia
AZ,MY,319,Asia
AZ,MZ,892,Asia
AZ,,717,Asia
AZ,NC,150,Asia
AZ,NE,960,Asia
AZ,NG,1865,Asia
AZ,NI,290,Asia
AZ,NL,2135,Asia
AZ,NO,1600,Asia
AZ,NP,191,Asia
AZ,NZ,312,Asia
AZ,OM,1557,Asia
AZ,PA,310,Asia
AZ,PE,208,Asia
AZ,PF,126,Asia
AZ,PG,295,Asia
AZ,PH,473,Asia
AZ,PK,1506,Asia
AZ,PL,2193,Asia
AZ,PR,164,Asia
AZ,PT,592,Asia
AZ,PY,433,Asia
AZ,QA,2084,Asia
AZ,RE,127,Asia
AZ,RO,1203,Asia
AZ,RS,1380,Asia
AZ,RW,1149,Asia
AZ,SA,1089,Asia
AZ,SB,209,Asia
AZ,SC,1926,Asia
AZ,SE,3124,Asia
AZ,SG,444,Asia
AZ,SI,894,Asia
AZ,SK,830,Asia
AZ,SL,3454,Asia
AZ,SN,1243,Asia
AZ,SR,428,Asia
AZ,ST,1348,Asia
AZ,SV,173,Asia
AZ,SZ,461,Asia
AZ,TD,948,Asia
AZ,TG,2313,Asia
AZ,TH,178,Asia
AZ,TJ,19963,Asia
AZ,TL,258,Asia
AZ,TN,767,Asia
AZ,TO,224,Asia
AZ,TR,23998,Asia
AZ,TT,514,Asia
AZ,TW,126,Asia
AZ,TZ,1099,Asia
AZ,UA,14878,Asia
AZ,UG,2515,Asia
AZ,US,620,Asia
AZ,UY,262,Asia
AZ,UZ,20951,Asia
AZ,VC,278,Asia
AZ,VN,203,Asia
AZ,VU,109,Asia
AZ,WS,148,Asia
AZ,XK,1416,Asia
AZ,YT,154,Asia
AZ,ZA,273,Asia
AZ,ZM,1075,Asia
AZ,ZW,543,Asia
BD,AE,88757,Asia
BD,AG,470,Asia
BD,AL,430,Asia
BD,AM,188,Asia
BD,AO,1479,Asia
BD,AR,213,Asia
BD,AT,542,Asia
BD,AU,1765,Asia
BD,AW,242,Asia
BD,AZ,637,Asia
BD,BA,496,Asia
BD,BB,322,Asia
BD,BD,971412,Asia
BD,BE,314,Asia
BD,BF,1021,Asia
BD,BG,229,Asia
BD,BH,152021,Asia
BD,BI,1647,Asia
BD,BJ,2104,Asia
BD,BN,55514,Asia
BD,BO,325,Asia
BD,BR,300,Asia
BD,BS,299,Asia
BD,BT,4895,Asia
BD,BW,1153,Asia
BD,BY,489,Asia
BD,BZ,845,Asia
BD,CA,1721,Asia
BD,CD,1421,Asia
BD,CF,3882,Asia
BD,CG,1062,Asia
BD,CH,504,Asia
BD,CI,1095,Asia
BD,CL,126,Asia
BD,CM,1005,Asia
BD,CO,340,Asia
BD,CR,314,Asia
BD,CV,305,Asia
BD,CW,250,Asia
BD,CY,11102,Asia
BD,CZ,194,Asia
BD,DE,637,Asia
BD,DJ,1667,Asia
BD,DK,489,Asia
BD,DO,606,Asia
BD,DZ,906,Asia
BD,EC,319,Asia
BD,EE,508,Asia
BD,EG,1291,Asia
BD,ES,573,Asia
BD,ET,1328,Asia
BD,FI,839,Asia
BD,FJ,2043,Asia
BD,FM,528,Asia
BD,FR,1503,Asia
BD,GA,718,Asia
BD,GB,2480,Asia
BD,GD,478,Asia
BD,GE,302,Asia
BD,GF,375,Asia
BD,GH,2486,Asia
BD,GM,1614,Asia
BD,GN,1182,Asia
BD,GP,153,Asia
BD,GQ,1482,Asia
BD,GR,5183,Asia
BD,GT,333,Asia
BD,GU,852,Asia
BD,GW,837,Asia
BD,GY,983,Asia
BD,HK,800,Asia
BD,HN,539,Asia
BD,HR,335,Asia
BD,HT,1148,Asia
BD,HU,170,Asia
BD,ID,1356,Asia
BD,IE,843,Asia
BD,IM,260,Asia
BD,IN,6802,Asia
BD,IS,151,Asia
BD,IT,3785,Asia
BD,JE,431,Asia
BD,JM,814,Asia
BD,JO,2673,Asia
BD,JP,855,Asia
BD,KE,2093,Asia
BD,KG,532,Asia
BD,KH,1165,Asia
BD,KI,2069,Asia
BD,KM,657,Asia
BD,KR,1444,Asia
BD,KW,81285,Asia
BD,KY,519,Asia
BD,KZ,393,Asia
BD,LA,812,Asia
BD,LB,6005,Asia
BD,LC,371,Asia
BD,LK,4083,Asia
BD,LR,3090,Asia
BD,LS,920,Asia
BD,LT,163,Asia
BD,LU,450,Asia
BD,LV,187,Asia
BD,LY,4681,Asia
BD,MA,1279,Asia
BD,MD,201,Asia
BD,ME,283,Asia
BD,MG,1508,Asia
BD,MK,252,Asia
BD,ML,1423,Asia
BD,MM,1248,Asia
BD,MN,462,Asia
BD,MO,486,Asia
BD,MQ,126,Asia
BD,MR,1525,Asia
BD,MT,3032,Asia
BD,MU,25212,Asia
BD,MV,204386,Asia
BD,MW,1448,Asia
BD,MX,252,Asia
BD,MY,32408,Asia
BD,MZ,2083,Asia
BD,,1105,Asia
BD,NC,75,Asia
BD,NE,1620,Asia
BD,NG,1391,Asia
BD,NI,629,Asia
BD,NL,381,Asia
BD,NO,365,Asia
BD,NP,4587,Asia
BD,NZ,677,Asia
BD,OM,241914,Asia
BD,PA,432,Asia
BD,PE,288,Asia
BD,PF,130,Asia
BD,PG,3420,Asia
BD,PH,1280,Asia
BD,PK,9337,Asia
BD,PL,233,Asia
BD,PR,129,Asia
BD,PT,1750,Asia
BD,PY,602,Asia
BD,QA,148038,Asia
BD,RE,170,Asia
BD,RO,415,Asia
BD,RS,288,Asia
BD,RW,2661,Asia
BD,SA,113465,Asia
BD,SB,2450,Asia
BD,SC,16559,Asia
BD,SE,1098,Asia
BD,SG,34230,Asia
BD,SI,208,Asia
BD,SK,132,Asia
BD,SL,3104,Asia
BD,SN,849,Asia
BD,SR,591,Asia
BD,ST,795,Asia
BD,SV,320,Asia
BD,SZ,2056,Asia
BD,TD,1572,Asia
BD,TG,1573,Asia
BD,TH,423,Asia
BD,TJ,953,Asia
BD,TL,1418,Asia
BD,TN,739,Asia
BD,TO,922,Asia
BD,TR,742,Asia
BD,TT,656,Asia
BD,TW,211,Asia
BD,TZ,2402,Asia
