user_loc,fr_loc,scaled_sci
AE,AE,1117179
AE,AM,3580
AE,AZ,2948
AE,BD,88757
AE,BH,255056
AE,BN,33017
AE,BT,16748
AE,GE,2998
AE,HK,11489
AE,ID,4581
AE,IN,36329
AE,JO,59018
AE,JP,3520
AE,KG,5344
AE,KH,1207
AE,KR,3160
AE,KW,139864
AE,KZ,2306
AE,LA,1084
AE,LB,85463
AE,LK,66289
AE,MM,1562
AE,MN,720
AE,MO,21533
AE,MV,78830
AE,MY,13943
AE,NP,108188
AE,OM,265165
AE,PH,53588
AE,PK,160504
AE,QA,295897
AE,SA,141906
AE,SG,28739
AE,TH,2584
AE,TJ,6842
AE,TR,4802
AE,TW,2650
AE,UZ,5155
AE,VN,1440
AM,AE,3580
AM,AM,15755579
AM,AZ,158036
AM,BD,188
AM,BH,857
AM,BN,192
AM,BT,602
AM,GE,73449
AM,HK,310
AM,ID,82
AM,IN,288
AM,JO,2038
AM,JP,267
AM,KG,4071
AM,KH,101
AM,KR,312
AM,KW,3468
AM,KZ,8515
AM,LA,96
AM,LB,30863
AM,LK,484
AM,MM,56
AM,MN,510
AM,MO,223
AM,MV,1103
AM,MY,145
AM,NP,122
AM,OM,798
AM,PH,210
AM,PK,338
AM,QA,1704
AM,SA,377
AM,SG,420
AM,TH,119
AM,TJ,8378
AM,TR,1370
AM,TW,124
AM,UZ,6464
AM,VN,85
AZ,AE,2948
AZ,AM,158036
AZ,AZ,7487254
AZ,BD,637
AZ,BH,1514
AZ,BN,709
AZ,BT,169
AZ,GE,57903
AZ,HK,358
AZ,ID,308
AZ,IN,228
AZ,JO,803
AZ,JP,262
AZ,KG,15115
AZ,KH,251
AZ,KR,425
AZ,KW,1023
AZ,KZ,19147
AZ,LA,283
AZ,LB,1359
AZ,LK,741
AZ,MM,115
AZ,MN,1091
AZ,MO,281
AZ,MV,1653
AZ,MY,319
AZ,NP,191
AZ,OM,1557
AZ,PH,473
AZ,PK,1506
AZ,QA,2084
AZ,SA,1089
AZ,SG,444
AZ,TH,178
AZ,TJ,19963
AZ,TR,23998
AZ,TW,126
AZ,UZ,20951
AZ,VN,203
BD,AE,88757
BD,AM,188
BD,AZ,637
BD,BD,971412
BD,BH,152021
BD,BN,55514
BD,BT,4895
BD,GE,302
BD,HK,800
BD,ID,1356
BD,IN,6802
BD,JO,2673
BD,JP,855
BD,KG,532
BD,KH,1165
BD,KR,1444
BD,KW,81285
BD,KZ,393
BD,LA,812
BD,LB,6005
BD,LK,4083
BD,MM,1248
BD,MN,462
BD,MO,486
BD,MV,204386
BD,MY,32408
BD,NP,4587
BD,OM,241914
BD,PH,1280
BD,PK,9337
BD,QA,148038
BD,SA,113465
BD,SG,34230
BD,TH,423
BD,TJ,953
BD,TR,742
BD,TW,211
BD,UZ,671
BD,VN,405
BH,AE,255056
BH,AM,857
BH,AZ,1514
BH,BD,152021
BH,BH,8142826
BH,BN,44477
BH,BT,31786
BH,GE,1731
BH,HK,9688
BH,ID,3662
BH,IN,28915
BH,JO,61855
BH,JP,2459
BH,KG,1463
BH,KH,1162
BH,KR,2660
BH,KW,183999
BH,KZ,925
BH,LA,1360
BH,LB,36976
BH,LK,34572
BH,MM,799
BH,MN,384
BH,MO,14582
BH,MV,167681
BH,MY,18773
BH,NP,62976
BH,OM,337255
BH,PH,39228
BH,PK,80857
BH,QA,311104
BH,SA,188240
BH,SG,30235
BH,TH,7456
BH,TJ,1159
BH,TR,3226
