user_loc,fr_loc,scaled_sci
AG,AG,856956149
AG,AR,836
AG,AW,174684
AG,BB,2551859
AG,BO,599
AG,BR,712
AG,BS,828698
AG,BZ,222970
AG,CA,66793
AG,CL,1742
AG,CO,1440
AG,CR,3634
AG,CW,264541
AG,DO,196877
AG,EC,1233
AG,GD,3622283
AG,GF,235943
AG,GP,802310
AG,GT,890
AG,GY,3777881
AG,HN,1999
AG,HT,52380
AG,JM,2598041
AG,KY,1092215
AG,LC,6556735
AG,MQ,234608
AG,MX,852
AG,NI,1418
AG,PA,5837
AG,PE,750
AG,PR,16901
AG,PY,1033
AG,SR,575311
AG,SV,1009
AG,TT,770187
AG,US,56333
AG,UY,1580
AG,VC,11065040
AR,AG,836
AR,AR,1863542
AR,AW,6051
AR,BB,598
AR,BO,35162
AR,BR,3259
AR,BS,826
AR,BZ,1858
AR,CA,961
AR,CL,18643
AR,CO,8548
AR,CR,7421
AR,CW,3060
AR,DO,8529
AR,EC,7662
AR,GD,867
AR,GF,1519
AR,GP,956
AR,GT,4826
AR,GY,1143
AR,HN,5543
AR,HT,2543
AR,JM,878
AR,KY,2487
AR,LC,628
AR,MQ,625
AR,MX,5546
AR,NI,6314
AR,PA,6770
AR,PE,11511
AR,PR,4145
AR,PY,191952
AR,SR,799
AR,SV,5133
AR,TT,1536
AR,US,1488
AR,UY,62303
AR,VC,475
AW,AG,174684
AW,AR,6051
AW,AW,427209236
AW,BB,46859
AW,BO,2637
AW,BR,2033
AW,BS,49472
AW,BZ,15412
AW,CA,9476
AW,CL,30058
AW,CO,104816
AW,CR,23095
AW,CW,18000312
AW,DO,195759
AW,EC,24238
AW,GD,269008
AW,GF,107863
AW,GP,112172
AW,GT,2618
AW,GY,89092
AW,HN,3426
AW,HT,113154
AW,JM,108127
AW,KY,146256
AW,LC,70389
AW,MQ,46491
AW,MX,2759
AW,NI,4770
AW,PA,49504
AW,PE,21774
AW,PR,39012
AW,PY,4200
AW,SR,983281
AW,SV,3225
AW,TT,85165
AW,US,13231
AW,UY,6391
AW,VC,86054
BB,AG,2551859
BB,AR,598
BB,AW,46859
BB,BB,282024727
BB,BO,420
BB,BR,586
BB,BS,528893
BB,BZ,111266
BB,CA,68058
BB,CL,982
BB,CO,984
BB,CR,2308
BB,CW,82641
BB,DO,5970
BB,EC,660
BB,GD,3358284
BB,GF,127115
BB,GP,53125
BB,GT,577
BB,GY,2710388
BB,HN,1258
BB,HT,35180
BB,JM,905768
BB,KY,1425980
BB,LC,3924036
BB,MQ,90954
BB,MX,380
BB,NI,932
BB,PA,6102
BB,PE,440
BB,PR,3847
BB,PY,718
BB,SR,305859
BB,SV,531
BB,TT,931273
BB,US,23977
BB,UY,1353
BB,VC,8757277
BO,AG,599
BO,AR,35162
BO,AW,2637
BO,BB,420
BO,BO,4864705
BO,BR,6442
BO,BS,479
