user_loc	fr_loc	scaled_sci
AL	AL	14884656
AL	AT	19997
AL	BA	15027
AL	BE	20975
AL	BG	7200
AL	BY	2763
AL	CH	36294
AL	CY	14261
AL	CZ	2997
AL	DE	36557
AL	DK	3446
AL	EE	2051
AL	ES	3427
AL	FI	5104
AL	FR	9331
AL	GB	24637
AL	GR	435108
AL	HR	22880
AL	HU	4449
AL	IE	7175
AL	IM	1184
AL	IS	14835
AL	IT	92964
AL	LT	1763
AL	LU	33111
AL	LV	2110
AL	MD	7923
AL	ME	211907
AL	MK	301734
AL	MT	94354
AL	NL	4516
AL	NO	8590
AL	PL	1602
AL	PT	1746
AL	RO	6503
AL	RS	26551
AL	SE	15332
AL	SI	16437
AL	SK	4095
AL	UA	1489
AT	AL	19997
AT	AT	8174253
AT	BA	312840
AT	BE	13983
AT	BG	40713
AT	BY	4669
AT	CH	103987
AT	CY	15231
AT	CZ	20745
AT	DE	94662
AT	DK	13630
AT	EE	8845
AT	ES	8224
AT	FI	10308
AT	FR	6431
AT	GB	9074
AT	GR	17363
AT	HR	120554
AT	HU	138438
AT	IE	11662
AT	IM	6688
AT	IS	25700
AT	IT	17629
AT	LT	6246
AT	LU	53894
AT	LV	10714
AT	MD	14191
AT	ME	65760
AT	MK	126223
AT	MT	24663
AT	NL	17798
AT	NO	12104
AT	PL	15110
AT	PT	9027
AT	RO	91149
AT	RS	221432
AT	SE	16537
AT	SI	176074
AT	SK	72087
AT	UA	4890
BA	AL	15027
BA	AT	312840
BA	BA	24705334
BA	BE	10782
BA	BG	7109
BA	BY	2231
BA	CH	96293
BA	CY	5151
BA	CZ	6978
BA	DE	98577
BA	DK	19088
BA	EE	1582
BA	ES	1930
BA	FI	6753
BA	FR	4417
BA	GB	2130
BA	GR	8065
BA	HR	819998
BA	HU	4095
BA	IE	9693
BA	IM	621
BA	IS	18703
BA	IT	10320
BA	LT	1564
BA	LU	98590
BA	LV	1976
BA	MD	1381
BA	ME	1102079
BA	MK	161234
BA	MT	36736
BA	NL	13621
BA	NO	23508
BA	PL	1449
BA	PT	1628
BA	RO	3263
BA	RS	796560
BA	SE	50771
BA	SI	1157591
BA	SK	10450
BA	UA	1331
BE	AL	20975
BE	AT	13983
BE	BA	10782
BE	BE	4718282
BE	BG	29813
BE	BY	3426
BE	CH	29544
BE	CY	11521
BE	CZ	5086
BE	DE	13731
BE	DK	9253
BE	EE	8651
BE	ES	13070
BE	FI	7394
BE	FR	40013
BE	GB	8675
BE	GR	15933
BE	HR	8091
BE	HU	7472
BE	IE	10744
BE	IM	5069
BE	IS	17197
BE	IT	14332
BE	LT	6638
BE	LU	231267
BE	LV	8175
BE	MD	21183
BE	ME	11965
BE	MK	24466
BE	MT	27299
BE	NL	88222
BE	NO	8312
BE	PL	11792
BE	PT	28992
BE	RO	44339
BE	RS	9767
BE	SE	9562
BE	SI	11999
BE	SK	6190
BE	UA	3665
BG	AL	7200
BG	AT	40713
BG	BA	7109
BG	BE	29813
BG	BG	10665371
BG	BY	8862
BG	CH	18035
BG	CY	127452
BG	CZ	20132
BG	DE	55216
BG	DK	17412
BG	EE	6030
BG	ES	18496
BG	FI	6805
BG	FR	6536
BG	GB	36384
BG	GR	51935
BG	HR	7604
BG	HU	5142
BG	IE	14301
BG	IM	72528
BG	IS	13553
BG	IT	10441
BG	LT	5260
BG	LU	21580
BG	LV	7623
BG	MD	10187
BG	ME	15576
BG	MK	98977
BG	MT	54813
BG	NL	34772
BG	NO	12099
BG	PL	3814
BG	PT	6222
BG	RO	8612
BG	RS	26796
BG	SE	7824
BG	SI	12993
BG	SK	13949
BG	UA	8611
BY	AL	2763
BY	AT	4669
BY	BA	2231
BY	BE	3426
BY	BG	8862
BY	BY	4178093
BY	CH	4541
BY	CY	24395
BY	CZ	7821
BY	DE	5055
BY	DK	2369
BY	EE	26277
BY	ES	3142
BY	FI	4014
BY	FR	2086
BY	GB	2026
BY	GR	3892
BY	HR	2964
BY	HU	2349
BY	IE	3352
BY	IM	1531
BY	IS	3501
BY	IT	5013
BY	LT	59070
BY	LU	7409
BY	LV	53829
BY	MD	19671
BY	ME	23293
BY	MK	6655
BY	MT	6397
BY	NL	3372
BY	NO	3339
BY	PL	17823
BY	PT	2242
BY	RO	2150
BY	RS	6958
BY	SE	3870
BY	SI	4797
