user_loc	fr_loc	scaled_sci
AO	AO	16815996
AO	BF	19899
AO	BI	18830
AO	BJ	27847
AO	BW	25727
AO	CD	221090
AO	CF	19593
AO	CG	141128
AO	CI	32817
AO	CM	19607
AO	CV	317664
AO	DJ	4317
AO	DZ	1715
AO	EG	1258
AO	ET	3278
AO	GA	37827
AO	GH	14043
AO	GM	35052
AO	GN	86428
AO	GQ	40187
AO	GW	343468
AO	KE	18738
AO	KM	5918
AO	LR	31446
AO	LS	13237
AO	LY	1579
AO	MA	2476
AO	MG	14281
AO	ML	30127
AO	MR	55699
AO	MU	1931
AO	MW	13172
AO	MZ	779423
AO	NE	12845
AO	NG	6228
AO	RE	1396
AO	RW	15856
AO	SC	3412
AO	SL	31486
AO	SN	22513
AO	ST	1176889
AO	SZ	24929
AO	TD	11978
AO	TG	22735
AO	TN	2106
AO	TZ	20535
AO	UG	17318
AO	YT	5804
AO	ZA	23587
AO	ZM	28759
AO	ZW	11986
BF	AO	19899
BF	BF	20112854
BF	BI	64336
BF	BJ	215078
BF	BW	16028
BF	CD	66064
BF	CF	175298
BF	CG	153522
BF	CI	645107
BF	CM	71321
BF	CV	4568
BF	DJ	13637
BF	DZ	5903
BF	EG	3256
BF	ET	2454
BF	GA	256874
BF	GH	65533
BF	GM	26541
BF	GN	220707
BF	GQ	446849
BF	GW	27594
BF	KE	36950
BF	KM	15235
BF	LR	51039
BF	LS	11261
BF	LY	11414
BF	MA	9782
BF	MG	32670
BF	ML	476864
BF	MR	64706
BF	MU	3040
BF	MW	14150
BF	MZ	24793
BF	NE	309655
BF	NG	11170
BF	RE	3062
BF	RW	29294
BF	SC	2399
BF	SL	37632
BF	SN	131695
BF	ST	20096
BF	SZ	12153
BF	TD	129381
BF	TG	368779
BF	TN	9200
BF	TZ	39649
BF	UG	34760
BF	YT	8923
BF	ZA	5386
BF	ZM	22674
BF	ZW	5969
BI	AO	18830
BI	BF	64336
BI	BI	75294151
BI	BJ	102693
BI	BW	15669
BI	CD	431385
BI	CF	175668
BI	CG	68024
BI	CI	79593
BI	CM	38363
BI	CV	2166
BI	DJ	14145
BI	DZ	2265
BI	EG	1729
BI	ET	6086
BI	GA	36767
BI	GH	26063
BI	GM	11253
BI	GN	45705
BI	GQ	15891
BI	GW	12129
BI	KE	161006
BI	KM	30804
BI	LR	108241
BI	LS	8525
BI	LY	21804
BI	MA	2579
BI	MG	35681
BI	ML	49190
BI	MR	16221
