params,mean_test_score,dataset,model_file_name,pipeline,model_name,model
{'rf__n_estimators': 0},,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 2},-0.036549833207831,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 4},0.1545646238405268,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 6},0.2278463212392911,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 8},0.251994704471144,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 11},0.274462773268338,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 13},0.2787765659142091,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 15},0.2919478463486558,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 17},0.3047649732933489,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 20},0.305105558540908,CosDist,models/test_20.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 0},,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 2},-0.0673632320866667,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 4},0.1321966678842423,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
