,scaled_sci,user,friend
134,1285,ARE,PYF
135,2393,ARE,PNG
136,53588,ARE,PHL
137,160504,ARE,PAK
138,1322,ARE,POL
139,714,ARE,PRI
140,5690,ARE,PRT
141,1591,ARE,PRY
142,295897,ARE,QAT
143,1680,ARE,REU
144,3768,ARE,ROU
145,7238,ARE,SRB
146,15677,ARE,RWA
147,141906,ARE,SAU
148,2038,ARE,SLB
149,54434,ARE,SYC
150,6753,ARE,SWE
151,28739,ARE,SGP
152,2715,ARE,SVN
153,1683,ARE,SVK
154,62163,ARE,SLE
155,5759,ARE,SEN
156,2111,ARE,SUR
157,1670,ARE,STP
158,767,ARE,SLV
159,3188,ARE,SWZ
160,13507,ARE,TCD
161,14468,ARE,TGO
162,2584,ARE,THA
163,6842,ARE,TJK
164,1597,ARE,TLS
165,10397,ARE,TUN
166,1401,ARE,TON
167,4802,ARE,TUR
168,3553,ARE,TTO
169,2650,ARE,TWN
170,9269,ARE,TZA
171,2479,ARE,UKR
172,219939,ARE,UGA
173,3616,ARE,USA
174,925,ARE,URY
175,5155,ARE,UZB
176,2606,ARE,VCT
177,1440,ARE,VNM
178,1045,ARE,VUT
179,1496,ARE,WSM
180,1863,ARE,XKX
181,5184,ARE,MYT
182,6344,ARE,ZAF
183,4398,ARE,ZMB
184,20620,ARE,ZWE
185,5488,ATG,ARE
186,856956149,ATG,ATG
187,641,ATG,ALB
188,360,ATG,ARM
189,4539,ATG,AGO
190,836,ATG,ARG
191,3522,ATG,AUT
192,3514,ATG,AUS
193,174684,ATG,ABW
194,505,ATG,AZE
195,508,ATG,BIH
196,2551859,ATG,BRB
197,470,ATG,BGD
198,2166,ATG,BEL
199,1904,ATG,BFA
200,1707,ATG,BGR
201,3419,ATG,BHR
202,1678,ATG,BDI
203,4947,ATG,BEN
204,1085,ATG,BRN
205,599,ATG,BOL
206,712,ATG,BRA
207,828698,ATG,BHS
208,644,ATG,BTN
209,8081,ATG,BWA
210,425,ATG,BLR
211,222970,ATG,BLZ
212,66793,ATG,CAN
213,2546,ATG,COD
214,2028,ATG,CAF
