ISO_CODE,AD,AE,AF,AG,AI,AL,AM,AO,AR,AS,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SZ,TC,TD,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,VU,WF,WS,XK,YE,YT,ZA,ZM,ZW,region_1,region_2
AD,4.172325134277344e-07,1.6434921888127958,1.8018731439444111,1.6283824404052454,1.7264245513525098,1.5354230983826074,1.5836642282741842,1.554412062626234,1.5251308721172334,1.7118174625538771,1.2995124240810407,1.39466497123896,1.7357774981345162,1.5704103271305383,1.7496586513652714,1.3823987661764112,1.658865236639153,1.1987623694559928,1.6489726447367856,1.6335784877159272,1.4676547968790867,1.7014320489835797,1.6386999598933545,1.5258188936481611,1.7062937073995852,1.3406449088233938,2.2182975694982385,1.5134094162544067,1.4245742102519685,1.5677935814859096,1.891494381868904,1.642717579731005,1.372481373511112,1.3134696062456288,1.7098348802054213,1.657200289754874,1.6226594457016197,1.338781229308851,1.5771072334539753,2.769397161965406,1.513508500538527,1.5947154760398785,1.754139083747278,1.3691350878598487,1.9187640086478968,1.4849300649171484,1.4572954010781352,1.5557165971698406,1.3507557351135548,1.36139261383201,1.6336853708065828,1.3797323350022994,1.6079351215193214,1.318596004716814,1.4450984807575662,1.42267452717944,1.3371072024099635,1.6181800646469913,2.051696174497519,1.169227386867753,1.7302026208015526,1.368607821957129,1.533786790431164,1.7842299518268785,1.6604397064497292,1.3574946954873472,1.5535083543838808,1.397171260888012,1.4599633731777168,1.4939833460238148,1.308022091947996,1.6658526549026698,2.0018655738028333,1.79355852818504,1.6526652233051538,1.5957149766976266,1.3394196979740634,1.9060713197573085,1.6258036552447652,1.3466499953434776,1.5144251326173497,1.847330026154692,1.3865416765100695,1.9170047365005796,1.3537329561136766,1.7137313357570363,1.671460614223411,1.4654120659405905,1.6416663880153628,1.6113435188378329,1.6977365513262808,1.9558616456801163,1.6063908619772949,2.0609614466215684,1.456820604143046,1.4264804707776029,1.44482599382516,2.323258470435849,1.639746691974611,1.5679541180393537,1.4143603843380526,1.6519200762591286,1.9060260549532329,1.8560609839846132,2.0562103585748326,1.8325372945270728,1.555189339361411,1.511336691998258,1.4695207982260523,1.6105760107600908,1.5034301761545523,1.4274485104568406,2.3098572042229004,1.6557607292910368,1.6777619545512732,1.647794291136298,1.9639975259367872,1.159870831982917,1.3463535627443983,1.858469355845764,1.5245981933088175,2.040560035262732,1.4932584193497538,1.6154598061201864,5.137761995537588,1.554149605951077,1.8145396761146424,1.8110369480913404,1.628565431012429,1.7339676590922373,1.7580874154302046,1.845872754657037,1.6505385327756816,1.4249855570133385,1.5874823201223245,6.075796312366417,1.86477092432068,1.624664853403445,1.8902104939219715,1.6678766893961188,1.4155690266019696,2.08946485399114,1.556950454388092,1.509449792083804,1.5534240880035646,1.67730253184007,1.626269477690384,1.3842616404189718,1.3207155367047254,1.3757253985522169,1.7493075312957762,3.592569862624943,2.2047608400182743,1.3421876161439823,1.5055179639640726,1.285602832552848,1.403053135756213,1.597628647052514,1.6081716178629395,1.5287677956930996,1.5444540897995842,1.4705760490557434,4.956020796950694,2.2659612510637683,2.180265920192401,1.4529977794183986,3.318776867150341,1.4944174056902466,1.591543941204195,1.4102869930243516,1.6046833737852055,1.502297687886741,1.552883472339618,1.7367490836001636,1.4957354289882028,1.6954469700249588,1.4126885670179083,1.350320730632499,1.554336053715092,1.448991166163468,1.4106429617505478,1.873086576094083,3.810779104582496,1.5983352882917594,1.7558026509445144,1.6914248693337468,1.702931607467376,1.7601182554648067,1.4248760420131596,1.5217972052477091,1.6359013920155911,1.6202216692853082,1.8338553436843776,1.6983224359918712,2.435520483190647,1.6691707179602722,2.2047608400182743,1.4346497575970691,1.986831848072981,1.7058822833605465,1.6141512492884582,1.4190113663277693,1.895357567909535,3.489887165137291,2.15436311731052,1.7319342185837483,1.5318021587971462,1.6417518241291102,1.3866350189477132,1.614470915982002,1.4299962056717406,1.5156768830566276,1.587200048998109,2.2006240062336957,1.783297854097963,2.4569768427272765,1.616128535243576,3.201294975618205,1.5893416622305878,2.080346804339754,1.591162235929287,1.6182750258852792,1.446928105505456,1.6119079351983037,1.6083130940907664,Europe,Europe
AL,1.5354230983826074,1.5500200255812269,1.4689715832668984,1.5615595018704782,1.881409437429292,5.364418029785156e-07,1.300168236625125,1.5345434794948931,1.5540247143031178,1.829970235030065,1.3260519996778022,1.423858062213727,1.791401040936991,1.496863900840684,1.3050515327775003,1.3695648034208867,1.5020477246264834,1.3102048822307673,1.476681481803613,1.3372083131357606,1.4111301738294144,1.7310795627183146,1.674535389699513,1.745071745866901,1.554170530346874,1.3138721489579874,2.306417536003424,1.528430309056123,1.3977624108113516,1.5630140920651598,1.6187431937357273,1.5794316953375147,1.3970504095363758,1.441662728649301,1.723882660090796,1.7078017161386287,1.6152741596533586,1.413766856058578,1.56474254244609,2.830193112802614,1.5921311348199114,1.562879206462374,1.853990197691213,1.4118782070034437,1.8604120360110263,1.3916236512708022,1.5802654737146344,1.2469226306337535,1.3189445741319643,1.3839195787597165,1.6592810882460611,1.4817361397796465,1.6642288709908537,1.2942395772121988,1.2776517766641595,1.3962276508671272,1.3492738396827355,1.4415190695875997,2.14207536780732,1.441101113497896,1.684772275802279,1.4512884307391534,1.2897806701560846,1.8997030462736089,1.865250831573398,1.475772064096251,1.5598197214826652,1.4605586739724885,1.5006414608856036,1.3403980688133734,1.4764652107095586,1.5393387762307835,2.2289309050946,1.8815251533932476,1.653273883225385,1.4645152311634724,1.478721790839734,2.016427154475881,1.2568477241439222,1.345319923230892,1.585812837072298,1.965869952561954,1.322601941062238,1.7564012378232536,1.3647432224040903,1.3852966144892838,1.6964238458320755,1.286795116981457,1.6139975802428363,1.5817593737520397,1.5658923394264574,2.1158058563376625,1.609867623868271,1.6461141363652354,1.5931316623756893,1.4036045270973811,1.4117582291812056,2.0546431891184445,1.7225291612161744,1.48712672328378,1.3587809261412032,1.4015416724969612,2.004194930227054,1.976859863163275,2.043035623819318,1.777447105867327,1.2846802765781429,1.6248896181426078,1.3562882251207935,1.498862094512151,1.2825451202707334,1.4744825924278215,2.5114194033105903,1.342907158905862,1.6345903259523924,1.6116078300646617,1.813417643703353,1.2808144522402851,1.263132012707452,1.45970293398477,1.4271118874551247,2.239135904854405,1.19460450789424,1.1898005447439164,5.188939722380717,1.4900169761679478,1.950170255818688,1.2121657093199132,1.4932151579622683,1.416633874652919,1.657899252494999,1.687940250640152,1.7473453255788547,1.5594312291748096,1.6071013556658065,5.997996696233176,1.7813154569485736,1.4386962907176235,1.5151846330031564,1.7162510776158575,1.4526864080053652,1.875968724183055,1.5027175119975325,1.4117665347266315,1.6112363756984764,1.6001748121767492,1.536426194916754,1.372767704356753,1.408719480464696,1.4438229240751117,1.456259526409791,3.5891480046218094,2.3478515497652426,1.375103112417407,1.477246285015967,1.4037017684268456,1.4364391462974144,1.6503622386939314,1.6121822460137258,1.4600059075541187,1.4280658726587547,1.4571358955831375,4.974213998827124,2.231628263921155,1.8890585102287665,1.5165943388771843,3.332429190998212,1.4605454839037852,1.434042954414391,1.4438830239444729,1.472219332199298,1.1106838639592762,1.5201022044662706,1.7554516728302203,1.442470630721545,1.7881728543960729,1.3608039549119617,1.408203054553122,1.4627491835917303,1.2328009422963873,1.302376897241647,1.7369011084409518,3.918699416725408,1.570557729863462,1.5813458876859527,1.4605370809264309,1.626633350033973,1.881029102302827,1.3719992073544782,1.619562216980653,1.64540875566698,1.7378820645367157,1.861512119157584,1.7256561531330632,2.251024870902852,1.4695109243767714,2.3478515497652426,1.3980444630354936,2.113147075059016,1.4195843055213413,1.7348240019436385,1.403363614043237,1.71709558772168,3.4169203928002787,2.0224130756482803,1.7017061240057192,1.2781614023736405,1.5265030170938163,1.4825975633033346,1.6871087493101131,1.3534731004824996,1.5054224785614956,1.7031072562843426,2.211603778598038,1.878125851982332,2.139956194165503,1.6904483076488992,3.210462866161725,1.609163537342295,1.3137004175407103,1.5278340010699465,1.7354740547084944,1.4789952560184425,1.4746969440436384,1.5777747370936668,Europe,Europe
AT,1.2995124240810407,1.3531350034321816,1.6131388791242274,1.4123450270056883,1.700838344255614,1.3260519996778022,1.3405886235665554,1.3623061837440775,1.3870811233370477,1.57580948052914,2.493441183966624e-07,1.121702948133525,1.7375157467367413,1.341931338775993,1.4462008256527528,1.205520796336753,1.3809261118323797,0.8489380753119166,1.4450959641366214,1.2847943262667094,1.1685191621549402,1.4823612221339202,1.414248974263714,1.5560659846997478,1.479753749836024,1.1943363170521395,2.2391708458374078,1.3250073287494029,1.1683821946618578,1.3169455071798786,1.7007344609588768,1.3935813035204927,1.1397273204897025,0.9968211098131888,1.4833923131091191,1.4462127924908263,1.3743712364596992,0.9295358295748648,1.314088219458382,2.75297014120264,1.3404243273232823,1.3249276655480242,1.5580800645887172,1.1420648256375905,1.866710134275355,1.2678219572773348,1.3996569899570723,1.3613723863961058,0.9477014084791048,0.7850755427904909,1.4107456576151431,1.0829875621402252,1.4614229451788825,1.1600305411037806,1.161267985955366,1.2531862442471322,1.0040572926310418,1.4284237454439652,1.864255640003879,1.0152213822663971,1.4872455113224978,0.9907607096842722,1.349230386055697,1.5937517986169891,1.5513193405682884,1.0388782588752252,1.321251595442994,1.0073685442538158,1.2884522923228323,1.2603275601810824,1.1408391234117428,1.372039858546362,2.1035659150543227,1.6832021664962096,1.4250182447223432,1.3481778726604952,1.174032506492673,1.744112835066818,1.3106379159801722,1.1653273433486877,1.3579657894227508,1.6811372534870346,1.1675664697701544,1.7282027840774012,1.1502708286601644,1.416569988363606,1.4459996184768005,1.039463783415204,1.3333606978096804,1.368022250183374,1.4794228161866314,2.0218773910638523,1.255826489522453,1.8355910397531312,1.2293050552417957,1.1846471451666416,1.1661018237349792,2.1766570665576874,1.3761308373142924,1.3095321153976578,1.1489122574832455,1.411624787009467,1.73690947865254,1.6739047432089011,1.986219395061624,1.5478368625744656,1.2284447024072551,1.4528495280116525,1.1666027902600795,1.33300784477942,1.2722618906829484,1.236068118926793,2.3140130396863485,1.354652135948774,1.4555143160348292,1.3895006560364207,1.792107109123242,1.047893769061523,0.991628300170876,1.6830075977739416,1.2670544638406729,2.091911399937157,1.200583388949731,1.3202748946281115,5.232534216732107,1.319170415194593,1.688281773329172,1.5540812398047958,1.381798544660722,1.48103141430452,1.549482851857474,1.6804473907846196,1.5180408457452197,1.2748888460741123,1.3740558519114288,6.074986048877259,1.823374667006548,1.430081297238415,1.6759911354108004,1.4401506419119836,1.2162878995044275,1.8914433953298797,1.3142067061043616,1.3472206548464354,1.4827293996130853,1.451807212782877,1.3224892316433,1.1738490883980346,0.9384732063357996,1.0762739822379366,1.4855651354641466,3.5386509012759677,2.0388639410598524,1.0464502245901504,1.190397452638858,1.0756598479431505,1.1849118950181134,1.4940466341733307,1.3804926513958262,1.22913240458598,1.2070004752838517,1.1122144893018886,4.980876952880766,2.2541596041907237,2.03669637002966,1.3779085714182997,3.325670429019161,1.4165831756041904,1.35840246408966,1.2270101701121243,1.2998689423489218,1.1817101915925927,1.2779013003229256,1.5047738037490284,1.1771889267769862,1.4925034378686008,1.2439373704711545,0.9779950338463782,1.2725571459208564,1.0223208905128354,1.0079456316264634,1.6564214713254672,3.9136112339971,1.3442813883197997,1.5288421919459116,1.534213141061583,1.4923799151845418,1.5823003611922557,1.2565239410569131,1.4458231772257346,1.36563615125925,1.5530091121774885,1.6555863572092742,1.471658962424211,2.2313166508133007,1.4001675340652977,2.0388639410598524,1.2058996425591424,1.8370270060120744,1.5032033835359937,1.430968550062609,1.1234135432150791,1.785622423760084,3.3621044719026667,1.9366397228628265,1.4748027403215649,1.2063843291929384,1.3805558917239225,1.0661316123135778,1.5314848214786363,1.162319255822969,1.2856092605966345,1.3980731672372086,2.1551380765325896,1.7125205391697451,2.241609832202754,1.4190247722729652,3.134832219289754,1.3758721469026574,1.9058111064126024,1.3978478285911378,1.440199512060436,1.1495122120884953,1.3453939048722765,1.359151560967308,Europe,Europe
BA,1.7496586513652714,1.682008227230786,1.6744992298779142,1.6876552188222862,2.0317991975119365,1.3050515327775003,1.5380098611853903,1.7949817769852612,1.7086986345277946,2.0136121284167885,1.4462008256527528,1.587633216986538,1.9365141146292617,1.7800174811588394,0.0,1.5947499483430438,1.715413489938595,1.465263057801003,1.6171428354003945,1.25615224530604,1.589075517135547,1.9347248408045297,1.86566333765964,1.8826733638221704,1.679070214064645,1.5460122015831033,2.4127106141416403,1.6546762493464706,1.53277195610688,1.7934333001394305,1.8460620269296089,1.7258591925249205,1.5722468504124751,1.5694785422498387,1.931096941148408,1.9375165305468915,1.8281905004923715,1.5743617822850111,1.7052056719318078,2.964305917909862,1.6937830818304116,1.7368572629759602,2.101792841394265,1.65277580887049,1.9580889873950795,1.6231910629526456,1.751933275449774,1.396880908063468,1.3930274015945432,1.5547791354929257,1.898777378520361,1.6054945595421193,1.857434205647173,1.5278568092505724,1.4351093268502142,1.6370700602425794,1.5302857880813612,1.580169098912756,2.341457651985201,1.552975087796625,1.906147294300191,1.5624426418522035,1.5022321278721673,2.1062907868488265,2.0664508882500763,1.6335882559290344,1.769890259682135,1.5666500699245005,1.6959497365364813,1.6295166488426602,1.6759281919220888,1.72327004783414,2.301491776551887,2.0416350402569954,1.8978934952472428,1.6585146608460308,1.6615870413556673,2.222065749706565,1.3713440916261088,1.5301365440087922,1.746722575957844,2.190390023011514,1.5260147108303823,1.8417770406221636,1.5512945071694455,1.1395124635680072,1.919461171755038,1.285238513674886,1.773535376053206,1.6277955753425928,1.5954674121393686,2.204240828552204,1.792370992233581,1.6630390207200951,1.8077751974073808,1.5514953399387368,1.624202449531731,2.0331676452659124,1.935944875173111,1.6635658545088614,1.5809344196419992,1.6440033363361315,2.217869331586574,2.188805302889419,2.121783297911582,1.913108006050686,1.4220917537680182,1.7865231118694829,1.5596626000073393,1.635839639191854,1.4036297957979456,1.6919284598412758,2.6156915985992053,1.475854721564606,1.9095871704621543,1.825045030221238,1.794382659326976,1.5309444646778134,1.382416230385791,1.551243748510936,1.5989963294552003,2.383364007097136,1.2585398780965995,0.9607527944988464,5.209460106643744,1.707223998063201,2.156371073694146,1.1798516802789971,1.6862536426688637,1.6293475490398348,1.9075820950408864,1.789611571550974,1.9035994673715784,1.7434916490664056,1.8350481048327965,6.106978128846505,1.8665341351813385,1.56110068220233,1.5364602426581604,1.937423529112903,1.6320466844549493,1.9064054589792097,1.7516825091901616,1.6445498525630302,1.7695218204599774,1.8143810290577185,1.7312532707923145,1.5525158255353544,1.5421517262259956,1.6231771800436543,1.673415599868177,3.7002503260529256,2.5373230631380674,1.5317822677247266,1.6434654426334605,1.6328674639122749,1.643928083045199,1.7792254052774743,1.852645653815903,1.6110486056605258,1.5797694739264816,1.5267147894486908,5.026071743169547,2.2775948662869063,1.938820001084809,1.628129794835984,3.444679705442638,1.6696017324512653,1.618100764695226,1.5824139184448092,1.5049171667104475,0.9183263850602312,1.6920334911138906,1.9865684381998725,1.6247423421678515,2.021555244222913,1.5515724335724943,1.5414334359691928,1.5937337093409565,1.159445749346173,1.366526912468611,1.985591677103389,3.991072492393999,1.729619079534661,1.844283675603795,1.61995886752229,1.8448337754730355,2.101429602406168,1.602886801128239,1.7668798679553854,1.8314902385364389,1.937317146171387,2.108952375959668,1.9580712510886136,2.1879434248556064,1.6310577495724763,2.5373230631380674,1.6874233829814558,2.3173276575384807,1.5464258528556216,1.9454430961275475,1.6261533710392888,1.7971266180889012,3.5292590635264687,2.0631010468113717,1.8880831883932965,1.235108784275679,1.732162709848004,1.5966028411744353,1.876698733208731,1.5563119606254885,1.7268276210887166,1.9405996760907192,2.347247082258249,2.0581413030473312,2.122396042169855,1.923832993639231,3.315960950436295,1.8268391376315365,1.6350067875918852,1.762609979866967,1.9383039120542207,1.6869405985312722,1.672349844591115,1.7970109488205557,Europe,Europe
BE,1.1987623694559928,1.28114654619668,1.6055972114806984,1.342297639826035,1.5914486647378152,1.3102048822307673,1.2367174457969992,1.2143364358447348,1.3059260016469625,1.4511410393763462,0.8489380753119166,1.0722242040423675,1.7008880830051216,1.205318330275652,1.465263057801003,1.0626189638141277,1.2536919061395249,0.0,1.2759501589219653,1.261869207129957,1.081202965869324,1.2885074435311896,1.174647195866875,1.530333123982807,1.407386546189065,1.0842864664834853,2.1909722030205043,1.2685101253298416,1.0577632406652728,1.1964856800279138,1.707755923008244,1.235503580682005,1.0450332841864716,0.8400503865683321,1.278387118155857,1.2610994395602064,1.1831274863102903,0.8070866452975406,1.0825669389732115,2.717481865612047,1.2760421898994097,1.107334636927147,1.3492865802411171,0.9463663559749812,1.8840250954373048,1.1348882693731337,1.3161319243310308,1.4078423604639074,0.861401046166527,0.7969272470350297,1.2186441905591208,0.9746419349699142,1.333110385888677,1.024457128196365,1.0540107358135182,1.1664227280473245,0.8656801351333299,1.3893493020879977,1.6754752557981925,0.8989165429527584,1.334506255476647,0.8760389394787389,1.2940421691149306,1.431048677640962,1.449668497708825,0.7217822704267984,1.1206476099564096,0.8944440118859681,1.1795067404408883,1.0931280827145262,0.9171630365301562,1.265782990224905,2.093158017853748,1.6158410672688337,1.259475090297296,1.1651708377131742,0.920967007097724,1.5363221917468672,1.3081482120223162,1.0130345277720765,1.272879793166299,1.4766696070499723,1.054283957745404,1.746305104859376,1.0123108220821828,1.4683713517790526,1.248576715764378,1.0584430450711284,1.155285749472573,1.352479348962456,1.474579387823563,1.9939045019966035,1.1125931576183812,1.9002577450270512,1.088476103965752,1.127555578382863,1.0317347860579602,2.1994721177106062,1.16945240114489,1.1826132796928148,1.045824938258454,1.334330181764601,1.5510880554671906,1.4568441244263504,1.9704312988339725,1.4465236853313008,1.143863547135758,1.4181281194834896,1.0724383915087348,1.2179683438330016,1.2374489673834606,1.1243702283189492,2.38196953426437,1.2499356405465778,1.306845933066277,1.2536765994606969,1.8153989756661992,0.8960497723133264,0.8636337311359172,1.722314752860954,1.1712990968901595,1.98947454814873,1.1379068810026902,1.3146565985030514,5.215206311192526,1.165050726213812,1.5276645043046535,1.5811488817665047,1.1846154527684751,1.378381318651119,1.4447790591668148,1.6964904280284228,1.421519394805716,1.0349147170287292,1.190783487351405,6.093301954659784,1.832241789249168,1.3899085519326568,1.6829503443983609,1.2468776286544938,1.117307221936533,1.900233342319882,1.1715607005198088,1.2805052162158506,1.3351887273400744,1.2669592291035658,1.1992687649315974,1.0548648957211528,0.6539599077120112,0.9446261928740646,1.454710421686608,3.5377069915643187,1.8349042261491515,0.9698404879661048,1.038536266398625,0.8887105717699086,1.0513510232658303,1.375926762689857,1.2507045285331142,1.0613843345615623,1.1059674296206046,1.0103988457924211,4.949188222466935,2.296449459528357,2.081814638622696,1.3515911059492165,3.260685649997421,1.3834318347995251,1.2685729005869004,1.048212046662352,1.2335700117520738,1.1225377774067236,1.101131238893896,1.319527265938785,1.0293195284854657,1.3112137710630276,1.091056918957051,0.8186603219316111,1.2321522113094172,1.035773691998091,0.9483128464763788,1.6135036150071649,3.9458186714790138,1.113602367107008,1.45731613279655,1.450024133969365,1.4031735887549537,1.388263226051584,1.1648175316324392,1.364017838070238,1.228807113039924,1.4672561733590326,1.4456005397282576,1.2763631897456114,2.2437232202175084,1.2716029921357423,1.8349042261491515,1.0831071664935663,1.6690276699657056,1.440957299178202,1.249668648387154,0.9541070092220344,1.7717256139378927,3.334068812373131,1.9576419069601825,1.3280687612041548,1.1487741583857711,1.285647493931702,1.0239305230065068,1.4767830632374888,1.0236138529337249,1.185185800171284,1.2016049561186302,2.148355286915724,1.6775206601078585,2.2976683602370547,1.2333314416850598,3.0487836045824097,1.216589467179162,1.938563402092386,1.296358497847721,1.2359075386602307,0.9449747228315608,1.2378262062377865,1.1995782887946276,Europe,Europe
BG,1.6335784877159272,1.4747624625947084,1.783028546573967,1.6078019525558842,1.9306846925263568,1.3372083131357606,1.536861671930576,1.7432965868964332,1.5048763261791624,1.9390332150080547,1.2847943262667094,1.4060519756597527,1.8661983048570443,1.699028502233019,1.25615224530604,1.4900131335130322,1.6216867273432902,1.261869207129957,1.666789634224299,2.9200193199910854e-07,1.3963185103728868,1.9121288725421304,1.795112749973478,1.8332268951260704,1.4950979438175476,1.5226936809252385,2.3366306284761507,1.4922365612411173,1.4161127029680332,1.752191686434268,1.828583033678877,1.645040522216321,1.4888143675847405,1.4099890735281788,1.8868083498260024,1.866721923467057,1.7611405964898847,1.3967114795402389,1.5624355721940777,2.913573631778259,1.505470237534896,1.674169699648694,2.0035341590799227,1.4771428146996697,1.8629214175589468,1.5743736899379124,1.6582118095136726,1.3706874042411992,1.1033666346076745,1.2885995575720552,1.8276459881343656,1.357294875822418,1.7410414142204538,1.4700577294975508,1.4282128569611423,1.5329599294052367,1.2929570587392394,1.5140658439960824,2.257941721482676,1.3289067784564514,1.8986146476616617,1.3809893380245166,1.5459978415173394,1.9986179250843163,1.9567025924810568,1.406682050215593,1.709685113739777,1.3496137427403978,1.6038745220591195,1.5114702133684508,1.5525059302194628,1.6852850682326663,2.252953957613415,1.927214163525626,1.8445001088125992,1.695321514050624,1.5465578504598303,2.1339664432191445,1.1510810870696018,1.3995792644137512,1.66488096451158,2.105111152107014,1.4622764131720694,1.6922459564340706,1.4489678010220888,1.2962847412921477,1.8508303250536344,1.0061977239751856,1.5753207104712252,1.5289337966844594,1.463611308712676,2.154022551151997,1.5892313628460673,1.7647856344551445,1.6904217678618063,1.3341557079095971,1.547817176803976,2.018846116886172,1.776003635201057,1.607622531744282,1.454739127815284,1.5583872025294965,2.116443842181127,2.0946607891228304,2.076267943549635,1.6434761103746234,1.2865910920500607,1.7209401525946535,1.3684095829709415,1.4387851829036733,1.3809001663111868,1.5827319255820411,2.5826087625608545,1.3599721417802355,1.8868067676624487,1.737523306533526,1.6764312604191411,1.4194868237686715,1.165112925252344,1.6415873265806582,1.5391431644693363,2.288480129185288,1.2046874606072064,1.292229648656815,5.221826764954496,1.667308701439933,2.0736299558646367,1.20605041189539,1.7059090479023262,1.531777656776676,1.8696001168092096,1.656289453509372,1.851208414654465,1.6231552007546453,1.796476957104157,6.079766806980286,1.8193194391587637,1.4476930601887363,1.5278389016935263,1.8650952977815387,1.516521183174506,1.7142400976191914,1.671001674632479,1.6341318851042634,1.654154480226344,1.8263196878025032,1.669694458259105,1.5015657848558353,1.2425720673228509,1.38645227368773,1.6648024340754308,3.616710697056386,2.439825092314121,1.390693616815664,1.4815157041926377,1.4755060816761956,1.4941114610178283,1.6955853416997084,1.8167044203654623,1.4854129076508302,1.4254315401954982,1.1787111554518168,5.037342384266623,2.2561987648318365,1.9740563189238491,1.4633353992451723,3.4051787405834597,1.6218339118173888,1.499406616673206,1.4854171898232014,1.0484129573740208,1.0754125692140173,1.54112333438282,1.9178742326184388,1.4169970451218423,1.9432991754105613,1.4810985483154526,1.3002395361851522,1.3683453069464124,1.0891708527580173,1.0720378016012495,2.0158713516721924,3.952939809708099,1.6484221324969763,1.893750623870192,1.5335432023508362,1.8830322637657684,1.997492042630007,1.554694007180715,1.720173517327361,1.7479096999214347,1.838875221459568,2.0801688374803944,1.8874724553622004,1.9860402812636049,1.6369596262366797,2.439825092314121,1.6260178702326131,2.2149309630978795,1.4917972499745478,1.8526928346793856,1.36961678949621,1.7589870652723945,3.4878638949813507,1.8877079904614016,1.8388427927487665,1.1268219110465107,1.697685435740199,1.4671558233067754,1.745131889465242,1.4702388744502617,1.6321826829123671,1.8814331489636245,2.294168522189181,2.013170559030201,2.035281146536101,1.855125938327324,3.2358466516919258,1.7810389978907883,1.7923079796046222,1.7732308035523183,1.8532884299799264,1.556532485559144,1.668862050328521,1.748519428201042,Europe,Europe
