AD,AE,AF,AG,AI,AL,AM,AO,AR,AS,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GT,GU,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SZ,TC,TD,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VC,VE,VG,VI,VN,VU,WF,WS,XK,YE,YT,ZA,ZM,ZW,region_1,region_2
306.8557003571415,172.61358243579423,175.72553228992277,243.26944867509908,397.2091389935175,186.37895475274377,138.72386714286034,0.0,188.88209854608408,290.6625630494474,180.2655639661625,217.4772183750057,359.0208767857145,139.10161304620897,204.2795666071545,195.9671114285663,142.98376358095993,159.00790463280188,140.38416550144296,196.53183698412803,173.68579735715005,121.25344321428524,112.0535548376578,382.75261513736655,229.4207646008239,157.93755312499192,506.8527042857402,164.10247143406335,191.38915790372303,153.52892283835016,201.2926429333874,131.3245924919737,194.35890559521903,175.28058868633948,108.0044485119093,148.55521042207067,113.6941752777782,147.56567656014326,122.4598939596287,513.9963152922323,189.2331487747208,121.16674781249954,117.38698121428052,131.59790411289862,280.4477065692528,124.76260921428744,256.7748774999894,235.38867307604892,167.9358558613568,150.8008717544684,140.09746019840836,180.35977953007148,253.72037236770777,149.66181046103907,147.29128773809464,166.6227507207777,155.12927605010435,201.1492626775984,155.0514029703727,161.84489144641813,119.45993139880828,154.1599752832509,185.9367222142729,208.4435197222064,330.0751240873041,144.57747594537912,118.69138767315737,187.95844170557564,248.1119632142677,135.1375271857093,189.51829347401736,134.7646622883601,523.4342362267241,353.50926385530903,124.5366483730076,121.87157178571049,190.76918035714075,155.83250345237022,202.2076191883125,157.60877394813218,245.5741415476085,133.56139898351014,166.6220774999835,284.0519852513483,147.62199707142358,227.36557813907405,116.7381709285724,200.2052131641532,144.54062105054547,242.42226035711644,223.3634664400932,402.6705205952533,141.7089031492085,234.54890656722836,201.7249083791255,209.4890658917064,144.07969204544892,292.9870738227845,129.3805131685746,137.77978827464625,148.70182749999395,164.1706943666612,175.18611399067012,136.0502239285651,402.572981901561,177.0920727521013,164.11029797620097,325.2729374999974,144.35243845237434,168.89107547142464,187.9037538513364,214.15881200844217,503.53278083335175,156.3871520739279,119.4010563624259,133.83566842165092,266.4287697321548,200.3588149242381,160.09116613710765,219.77348657141363,157.6062005625098,449.3961167857349,161.82818261520515,209.22505083332763,828.0814393011541,129.68134988094272,237.58957017079024,227.5396737987072,119.4422829464308,148.87625920676263,145.5794664999964,290.3530349999822,343.1784284398628,194.71234003966896,122.33146531746188,627.5476760713927,305.7613767063592,236.87135435713165,243.5074526260308,122.0184758766195,185.5056542624731,290.15602574223175,97.46411914285775,148.74946226190022,236.1242651785662,127.06589181676917,128.84494209285504,150.829421428563,159.1810580050465,162.96802607143496,155.25356974702174,484.2756162830891,152.153887499989,199.76782568179829,139.1934373120343,132.39889411654653,143.71967143789408,239.393933046204,128.51923964285794,156.73951490126083,160.35349527731228,162.0534078392935,636.7755729134991,360.0992147556365,270.2971224999862,203.63407141705164,497.29485665968457,210.27059426471067,163.2060207142716,201.44337934523932,192.46628219387892,181.38321063851245,127.3110921547662,121.69912413264656,147.13550383929433,153.73076792016033,237.7789046428454,158.56931830356228,201.796991403647,201.1205159559756,182.06754349999812,153.13031518763833,841.637024432683,117.910897410715,141.8217686904785,229.54346780302328,162.52801035713992,141.12577710590588,169.40618099206606,352.5629066892005,132.25224321428138,314.02442181216605,136.52162425823565,112.4868702188947,291.6061815571344,145.89950693608637,157.29674464284565,158.06311476889584,191.6047917856993,220.63742756038013,207.4957053446031,155.58993293181223,263.7878517857216,291.47095227442685,303.8935892669081,134.7941305952384,164.75596533116658,135.0945134852271,198.76929568440795,200.54670738571176,143.65077644409075,209.93487805554068,113.98305129120249,475.2404564285964,428.99568050494656,285.438722086211,168.8202205219668,338.3165195807487,176.91515821427706,236.60074635880108,143.50163273808755,160.6019616362032,118.37197203781366,131.98272027777406,125.98710137217545,Africa,Africa
321.1911985570088,162.20802964249245,155.86790527928167,253.8193405017717,405.1995333333357,186.215531048942,136.85092674244066,140.38416550144296,204.66700119518444,293.8172216783166,183.1213155023898,221.4174471502621,375.329831240971,136.0590803683818,195.09947671717933,200.49866792929453,133.57207650405164,159.33820803102148,0.0,196.98558719696587,158.0496956060691,106.45823666667258,76.94611020201623,388.61039526028856,214.19633722518168,178.4865222537716,524.0967594697332,207.49950861056575,197.2725747913985,148.3699825890647,209.4654188060412,119.20822660311528,202.495888744558,176.3577977523084,89.1820514520296,129.36242323232858,90.6120529581573,153.69160475012345,77.44140474528646,512.1164818182089,203.28824023309292,86.1714940435682,111.32905899999466,146.73680711404035,300.9351832323141,169.76772650505288,272.9428916666567,234.07364134900308,165.42181079027273,152.12411144160677,128.6903934343534,177.54472418128086,258.15086161613937,159.8800935959647,137.87164789466502,184.6259075959591,149.53590176390463,190.96600193747184,142.2470518600692,171.74036625377053,110.1034596780354,146.98990295715782,183.5780062020088,200.96896195284776,341.2545848484858,141.5792787177651,91.43087323232096,194.2611056930279,256.6227253968026,146.90852500201268,199.20992323231215,123.60349269360606,530.3724335968633,364.63219712509175,112.66805353535688,87.97558196969513,194.4684459090903,142.7604532245564,202.73462226263263,169.98614340526828,243.3396979797868,132.02456348096936,169.93538616936883,265.84463405726467,158.52751000865115,226.0176929771152,104.6069410202091,194.099424720883,126.14292094910292,250.04615686144095,210.74208337569863,400.9998111111501,130.12409317744525,210.57716852109857,212.55948768455517,219.46927993907036,148.48988020201733,269.6984619360616,116.46014381819096,122.38758779200452,128.31819777778037,154.0060663393897,166.5961656126431,120.17115007215884,404.80881089272833,162.52333585205497,146.68022066667456,330.7312781075851,124.45699701297882,146.6272006626234,176.19807859402002,225.570697719127,507.2334797979971,148.2603099042939,109.5422218855235,125.27138357771824,255.452185561876,213.471935353527,150.07740989202472,197.9146915605853,147.37817095645258,449.7255017677087,146.93730355164524,207.0023656565569,829.8211677206066,118.20970204904864,231.89433399207624,227.33899474748029,81.0844279987381,138.8029788468779,152.123648808082,274.74589169189875,343.0179511430352,196.2584030302898,99.71065744950172,622.7845936507696,310.00457297979244,233.64444723231,245.8351591206007,115.58370277778032,206.58622703163243,272.8832257821624,119.87352094445149,148.65723409091163,225.80294071970076,82.99868133509447,111.26604891363262,163.68894669912666,155.8703810100937,161.65130641414916,152.23320758522684,480.6722016835241,136.88235050505855,204.4050395959266,123.2359011164404,139.55955558746032,161.49413250066195,234.82836428994068,118.96754284955438,154.90688271969617,154.1522161642907,166.57470388006504,628.7347410419748,373.5311606060585,249.529151659431,244.28167508960695,489.3625305407281,232.46827286989088,148.29004356781692,196.4184130681983,189.360166558461,183.5421659595712,115.40745305809529,109.1563088229248,126.5508021982438,149.18677260844066,239.73313333332032,153.02509672978758,192.0193322292661,201.80955151513697,183.2151089656523,147.45644249271598,850.8679310159587,86.40518113637202,126.67479707071983,231.68510909090088,148.5770561616214,154.48545851619826,185.58184398989596,361.6522620529731,127.72101262627316,318.8979612794553,117.46558352759094,85.37376964809702,266.0043298872489,131.0732819245151,142.00356262626892,164.48709316694826,175.85486450215794,216.31247786173384,205.639299893665,144.89875404797078,262.84432108758926,271.3144758638853,285.68279350290715,116.83254716451232,148.24589752525674,128.71118311390225,206.18298528686088,219.7311766464572,123.9957921278043,217.4644968253814,134.68630697201874,481.2250973485235,436.4417411703507,264.3851703336909,163.09187187256748,321.0896568730776,174.33891848484544,238.17597579241868,118.15786392495308,151.2512629081514,120.77531572905696,127.51897919192156,113.87364248804175,Africa,Africa
320.0472295238156,158.87406146067394,155.61467558825328,243.05176145158904,405.1061809090904,189.78198115383591,124.52867250001351,121.25344321428524,207.94708412903995,277.45373961537257,177.25461999999493,214.33666275001036,376.2071799999828,124.4159111764622,202.8321075000162,186.0646624999992,120.64742736667571,154.7339468309913,106.45823666667258,198.7034919444392,154.35037800000146,0.0,75.71444409090904,385.7477465384548,210.5220317646916,178.49435218748332,529.2289375000373,208.5704879846112,182.88367500000612,115.53419000001966,201.38181786516745,103.10417241574018,188.83315666663884,164.76026804348243,73.28856708334114,104.94280045454762,79.93303079365386,143.77403999998307,95.92285347827097,512.3192581818441,203.74316938460345,88.67000093750696,85.65828899999673,137.47120325805875,308.3115221212009,147.92292400000872,264.68006166665447,236.41857505380136,160.33708549020798,140.46410165625335,99.6752883333434,172.23361973683322,248.3772820370112,157.07128245454686,135.3659580952405,185.756805454546,138.51693619401908,197.05538408107,119.40395609757256,167.7993102083154,81.5055756250056,138.23359344828023,168.93618099998423,178.39953814813748,327.2491488888793,135.8999433529373,90.02384818182284,180.28090468292655,242.7144353968028,129.93285159999414,192.82865590907824,112.91316462963192,535.506135217423,357.27155256409503,79.95874611111499,86.719373888889,189.816099999995,123.5382512820621,204.94691018182257,173.9366868492951,232.14517833332064,105.54552884616052,153.9539233333171,274.1614022222504,159.45573099998973,230.50770657891428,85.66782200000398,196.8491769298138,116.94134923845871,245.5863278571054,217.437476290325,402.3041033333733,112.08084641111508,223.26191470588452,186.84443500000208,220.3517542258106,134.25373227272357,288.44516981485145,100.48158828000804,114.19197007042082,122.36403666666696,152.5794653999926,143.5548415217412,95.59136285715034,407.8202621621815,157.29042970588574,146.2851863333395,326.46284153059173,122.46341690475244,147.24822819999605,182.39087229726232,207.549419623653,511.4090999999987,141.87667614034152,78.2537612962937,99.74247774193644,264.38813937502056,202.99264515150773,143.60102385057812,209.6659799999767,148.86734943751367,455.6511850000288,146.37055876344468,199.60735196969105,840.4676036957292,108.58133952379698,210.7330547825881,232.8403845454617,87.37722687500187,131.39528931577837,136.80113700001056,276.3800024999719,333.19104026317723,192.9076566666542,82.82036972222595,614.2063585714756,306.1515850000071,236.66593666664525,237.8816464705692,83.24074227273334,203.39654948191935,282.6873553478179,102.09564750000558,136.5317299999972,233.1385487500017,78.46142152174589,100.7273765499984,162.5461396428446,147.92089666665515,150.48566055556714,136.5244996874985,473.80454296298507,114.86619500001107,195.9811086363277,114.16568973685187,133.10561473685078,156.8107996087006,236.2312170588079,95.06985289474056,145.67615866176425,145.39484020588364,162.23074425001346,633.7734692105787,383.4051263157816,265.18591499998365,246.003643225802,487.3429988235532,241.81104205883588,148.230446785703,199.54212291668983,192.4409812245117,181.71229424239525,103.3198640833453,72.67769734693701,124.35077237501314,119.37940029412168,229.39409060604245,143.55709874998902,191.61572941859868,199.68780247472972,180.57453639999565,121.46864644066903,862.7354897059025,93.330678750008,102.75584000000704,229.2638798484786,117.9865350000098,131.91280465518145,187.8612972222177,359.7758924324437,101.28460000000892,311.6493588888781,97.99318807693068,71.31019564516006,281.2247291599771,113.55647447368936,118.76385000001116,144.06645843136667,161.97795166666145,226.35453676058177,179.53563438595805,140.35778484090142,267.3580110274077,262.3829936841851,294.0864284210306,96.75765047619647,149.0390707272767,112.69689120690016,193.92042943635903,224.32626039999084,120.38762369565671,202.02745833331832,111.93156346153091,482.106332500033,435.9002908620875,278.7539202413941,141.40890153846237,319.0910936956468,150.8397049999946,242.32184114945488,117.7178514285602,137.41001011628126,104.37401341176498,115.32644166666748,95.76942289473904,Africa,Africa
312.61920679655736,149.2574125944837,151.41752045456118,240.68141193548425,396.3778572727397,184.21117251748177,112.8591861363726,112.0535548376578,196.222896621705,272.85796678322714,170.0921514832515,211.98155897728304,375.4967372727169,110.71835449196008,194.31422738638685,184.9595825000112,110.47142657273464,143.1368711907836,76.94611020201623,189.2885067929301,146.23236354544997,75.71444409090904,0.0,384.9103821211987,210.98414470588355,167.40495218748742,524.822661136385,197.81091836223428,181.6910506324242,126.41597081340356,205.62918381001987,86.68977870275738,191.9820990043137,159.29563568380016,58.21893700757949,99.38447727272008,64.08045118325626,135.31184968897978,63.8061038142333,505.5079609091025,193.90468641956983,65.77027741477349,69.14525003030035,125.1825417565862,303.30516636362904,150.73951981818644,264.4304019696982,234.73380063541663,150.12086436720418,130.89131136648027,99.06063434343106,163.39407184209858,240.63203276094717,146.29254327272966,127.176000229436,174.0243078181825,129.01208636362057,188.46992873463333,100.70341549888371,156.72794457952938,75.66348179924404,125.6166194984393,174.69525999999408,168.48597269360076,322.06943404041186,121.79121010160095,70.39049272726949,177.49677302438718,240.6036388023138,119.81763676362642,183.72818999999703,106.33646979797464,532.5440707905408,355.868534335658,80.2253056565596,77.10033116160855,180.50328863636983,104.97457960372174,197.82828127273652,160.4249502615056,230.2681430303045,93.42555405593492,154.56665881117107,267.4761794444706,146.16085031168333,224.05576775117245,71.12668390908607,187.5103908293356,101.16508375174573,243.93690311685864,209.81935747801077,400.0770628788254,100.23787811549111,213.0909372352932,190.41229874127367,211.83926299413773,125.2573790908983,278.93654372057426,80.73070513455266,106.15301080665031,109.70625030301908,142.68706896969195,130.15369023714578,80.6556959740194,403.9029634152564,142.99254103208415,133.43054333332503,324.0770909276414,104.90743844154824,132.31244556362853,171.1233118918639,206.58041830890724,504.53292515152816,130.40727138754892,81.06995841749938,96.0501841935412,255.6323309659424,204.7775621212087,134.42849988504858,202.4858262272537,139.1584135625133,443.7422186363868,132.75275553274102,201.89844575757365,829.1966643873036,102.47010610388492,203.1492337154156,230.2965209090988,67.7992122159049,121.40351704783636,125.22708736364994,277.30360249999694,330.97168177036843,181.89120696969647,70.99376366161223,606.0432061038832,315.03557429293284,235.95571569696008,244.0728814438532,78.12615409090463,194.93438196384696,277.8364609565168,95.66993350000264,134.0938028787771,224.26189261365573,65.21384256916771,89.42593864999841,153.7714534740175,136.8014617171588,141.40926141415406,136.2923253314356,466.1721053535564,93.13794999999295,191.63552939390863,98.6351262679482,118.00863028708906,145.49938903558132,229.33465256684545,88.5014285167433,134.01025085962402,135.94574678342155,149.37418972728787,618.5430467463988,379.8862372727258,255.279207662328,241.1371762170052,478.366742406436,232.52250481284767,137.66861282466832,189.32855609850597,181.04624538962625,173.20581636361123,82.82833520455507,70.6302112615878,108.80118328410056,114.25895898394974,226.7764760606052,133.52377758521993,184.82200547568223,193.8259780807997,171.21808996363688,130.0199433744043,854.8717172726607,67.53498795454678,106.68076772727689,233.31179969696743,130.23518272726886,117.19352329152916,176.74033247474873,355.7892408108329,94.27954787878345,303.8255154545503,82.57690328670608,45.543022932548375,269.4590699090705,104.22134607655023,98.13794999999264,151.12564415329203,142.2066383116818,220.4590815109013,176.74405982456173,123.40275820454278,266.22518539228804,244.5393401435446,286.30093653108145,90.29563703463133,134.94961081818408,113.86454855799524,190.9549561363576,213.1590789454565,104.50635772726632,196.3043231890352,100.2107172377562,476.7780106818428,431.79182072102674,266.31868994985854,133.75993480185494,300.77646723321163,150.56112545454246,240.83833775341856,100.30102341990164,121.62714298096512,92.12517524063944,110.87896323231531,86.30341956937238,Africa,Africa
352.33867613698953,209.9712107865154,219.4373815036525,261.192944073944,417.83662093974624,211.88526468452983,203.6229542790412,201.2926429333874,235.20744135774592,332.848750216088,214.3284236073367,212.3064843609639,356.39961043337644,216.5759929676278,225.0213311376516,220.0613627809177,213.00085627529853,207.4564961592148,209.4654188060412,220.7012092228462,210.1506363033835,201.38181786516745,205.62918381001987,381.13122990491706,236.884867977522,220.17788918536917,510.0174700842908,234.5647792489163,212.5831058622556,203.9697144589231,0.0,220.73832921349432,220.2583339753716,204.13918263507597,202.62628518259515,235.2591795709961,204.5614652398902,203.12931802188191,202.97007282119893,517.0954514811153,232.01957369921828,194.4250462464926,221.69373648317003,214.27044845343644,290.70430539325434,220.72547478651924,273.7222607677962,225.28802972093067,208.62762549021983,209.9182708416483,228.50639406991303,215.64387709935383,288.6021495630526,214.6751644760035,207.8403124050344,223.8963737078696,208.02060863660265,230.12574804888072,252.52479292957776,219.5793461512031,200.32312504915836,210.32175238666656,189.1290276179691,283.14396396172344,367.7716771535658,213.28506145671267,202.3035081205344,206.1777292573338,274.469162689496,206.47944495280936,257.09051205311573,162.03659955889725,508.91612506108856,366.9835731489468,201.21988458178436,198.19886566168415,238.6877876966444,253.5548838951393,217.6234070071577,219.8974427658608,268.44747902622373,243.2258306828122,190.93101938921484,282.1905161901994,218.78214334509636,237.3706571909933,212.70554025842745,220.87458432485116,219.87382662220955,227.1176971669171,232.7462995505684,390.1797800562034,215.2414957016719,263.15775544151853,248.1133331460842,236.0327805251964,187.1020906026638,295.07335534126986,225.56980444945236,174.45733176295113,210.04412602997576,210.45572715355624,259.4657370786584,239.20036276084235,390.7864287276239,233.53173232321268,213.8600531386002,329.6991706030692,211.23103414125515,220.87054632809333,214.73929550254195,243.65763568927605,513.5926868913962,201.9141610624826,191.0774035788562,176.50211413556815,267.97484385534983,236.88156244467157,202.73671288907912,238.38645850560889,215.47892637992732,479.9983589887839,208.41066655794347,233.69813779366777,829.7720380068625,173.1863513536628,304.3585061065066,231.0499839836643,201.52466187500883,206.09360467001125,211.89469879775277,287.8795683988719,366.3239040804533,242.75106816479413,213.9256964263412,650.9338650080493,275.10196326469656,212.94196029961492,236.490484335747,194.6277572778424,234.49074824217644,276.340626736684,183.0043846011228,156.6121498314668,264.15240175564264,207.9351894968277,177.94240632191836,213.078380533703,209.9027057587139,212.20208461922647,196.96313745435455,510.7265267582447,262.295591011243,203.3023617568764,213.7721712359464,211.4251584742705,217.90848144699208,267.0731929940543,202.3011643406188,213.1364668127946,210.40691419861813,208.41031002669604,672.7616975754282,342.1601310940251,277.72408264847206,242.2826739978239,523.5082637144944,249.8956670059571,208.56031733145167,233.4601259597679,218.88960483032605,214.97663054476328,219.3443525121647,202.79934886495295,215.2027918960801,233.56078916062108,264.34747630234955,208.55600051261396,215.02391646197327,219.2566273408184,210.362742179778,165.98206210245283,831.386838070056,206.3216418258453,194.97229730338444,224.70436939053548,186.3393379775388,253.72070821388044,225.0335915043694,360.0192236258953,192.9929486267241,347.90144352892827,238.87285868626893,207.5795996556757,296.6627244979657,226.5713305736431,268.28435505618825,208.964268010562,282.4427915462943,235.352032212393,269.48111673567263,225.52419526275773,227.45661068187093,364.8691192194161,303.07420559135545,183.5270443418908,210.75541506537803,153.83112873305288,214.93776123656352,243.35565146966505,212.39746933317883,247.04471161049145,221.42999316421023,467.52784873597466,425.6010320806101,296.3881433053182,237.1325541918833,401.5755740107713,226.79910775281968,238.7176048301981,223.09202029962896,250.34153893389816,173.98070906544137,150.90411128589966,172.21455201656607,Africa,Africa
317.2250112499997,155.68690981742137,152.2929147304039,243.92325280913613,400.8733572348366,188.34101862179728,120.29458208334763,108.0044485119093,202.7652314811868,276.8173788782046,175.7141913815753,218.588655166674,378.6355718452198,117.45761257352136,200.65915708334785,191.8389770833468,114.85746911667432,150.71781488850277,89.1820514520296,195.804787638889,154.31386808333866,73.28856708334114,58.21893700757949,388.4308040704907,220.1053463970485,172.87970416665553,525.9184387499981,203.4186169064094,187.99900534421715,130.43700984650997,202.62628518259515,95.00886004214225,198.3458325595192,167.0013410471055,0.0,98.22343193182483,54.69009724206733,141.71430739033642,72.9599792210231,508.8385789772567,199.7939230320436,68.30844510417207,74.77817874999907,129.76988711558468,306.53137806818233,154.0788550833452,269.90097708333167,239.98184853497128,157.28226428922267,138.4308516562534,99.5877345833433,170.18146918858992,243.32941412037044,151.98421040152246,129.17885529761787,179.7489989772762,139.06547445895737,191.93585914638612,105.39753383131044,162.779824291652,70.76067312500533,134.3369563362146,178.97447191666058,174.37506912037455,326.2178940277662,128.7874466225446,74.5330703409109,184.26168078251985,244.3830234325372,124.20163661666352,190.2978939772728,106.09670875000413,535.3768363587029,358.543389775622,79.6126479166726,75.22457291666836,188.58452791667796,108.27979163462528,203.7149791287965,165.62695870432452,237.864345416666,98.4716536859048,161.93590131409738,274.4275860648298,150.63643591666778,229.68978024120787,74.39230108333955,195.144992609646,109.57304823204804,248.18832815474525,215.02373098118588,404.964806250006,104.14257407963208,216.1880082696119,197.1775722756502,218.70493515860383,132.29104928030236,282.7510256018727,88.31713515667357,106.63793794014072,117.26528875000456,148.0697863833346,135.66620237319734,85.60372375000819,406.6182195608156,150.17046143627633,139.85045675000134,326.7520479506678,112.0722705357174,142.12367531667016,175.7504946283591,210.85902361560164,506.1798629166466,137.79490195175018,81.71420819444725,95.08268087366292,262.74834604168217,211.20576837120583,142.6275907614993,204.88142708332765,141.23648277084357,446.4659179166633,141.2918827822601,207.11691018938893,829.5738040761092,101.28367339285508,206.35587639492852,234.5250868560728,67.15442854167001,127.92279146929434,130.50926691668647,285.16595208333547,336.66058989036594,189.42796319444423,73.87820347222821,607.9182686309553,319.4896309722115,240.88865424999165,248.6026027205752,77.25324481060944,200.28995885642084,284.7778867717348,92.5244879166764,136.96307375000222,233.23330000001732,71.53888567029456,90.99716286666784,156.5663256547607,144.55475443180663,147.60776402778552,137.70925781250176,468.1987379166538,99.25171791667584,198.5411739014976,105.30996493422175,124.54083896931216,150.72818902536795,238.14956384803585,90.67637063597198,142.8198802843135,142.0270083774493,157.142822041678,621.1245975219343,385.961449451749,260.4005970833238,246.08078307795623,482.0959888970464,235.8047130147122,143.1464798214268,199.11280833335405,189.364708835044,178.93062806817116,91.7272586666755,70.85042625000462,116.737795166674,117.32683002451805,232.17049390151573,141.65724489582695,191.97194330426197,200.56993862372863,177.08698515000015,124.7494262641286,856.1290000735238,70.75420270833926,103.54485208334528,239.3057814772684,126.60089708334723,122.76843806035488,180.32219930556045,359.153170439196,94.526447638898,307.2766014351798,82.06359304487907,56.62728047043239,278.9927383366482,111.62094668860408,104.50171791667633,152.9451673774531,149.41232970238727,221.02317737677663,181.35234695176075,130.88135234847837,273.2543055993185,248.5606069956125,293.5151613464788,88.71223708333872,142.12294047727826,109.25878920977574,198.8138143409006,219.25361561666816,113.47400360507736,201.06060089285864,104.18193950640614,479.2979645833293,435.2400678304696,274.5279363706934,139.24733067308503,304.5534986050681,155.89068125000756,244.8664677155414,106.2697961309537,128.59470884690904,98.53579803431356,108.85069347222398,85.09964392544573,Africa,Africa
324.4758731601768,176.19936823289078,179.99198831552587,253.3410771260788,417.7768999999673,215.5884955244657,150.54578446970945,148.55521042207067,227.4405113958942,292.3569216783166,200.08588679425685,236.12950245455596,381.2691798700574,147.56998053474987,227.6172970454704,203.0134909091129,141.21543290001182,177.03173883483367,129.36242323232858,220.289265631308,174.99501681818987,104.94280045454762,99.38447727272008,391.2995170162542,233.94173342244463,200.07103965906836,549.1408625000022,229.55770276503085,202.6343474308528,149.68522320575985,235.2591795709961,125.5455032686411,210.2357099566778,187.3832216917017,98.22343193182483,0.0,103.2667281385298,167.31609801434612,116.95925496048152,533.8612181817816,225.3169801398518,112.27084826705013,107.63543045453837,161.27057724632962,329.2916157575719,174.01367054545656,269.4426659090846,260.4793710655235,182.0629284848692,162.3423935028467,112.00484090909131,195.8563144258306,269.05588013465825,181.06514490909447,158.42545304329818,207.47592981818283,162.34211031207212,215.84106205649783,135.6340567627429,188.44347015528072,108.46752248106222,160.7733376488972,199.94018745452652,196.2426101009956,338.6498787878565,156.33646805881784,114.2633045454482,205.2958155520969,250.1025668109389,154.29365825453758,192.6585363636173,146.37987902357443,546.8426679841965,366.4657664335116,108.2297686868622,118.09117530302264,203.1442540909161,137.69857296036665,225.66706545455395,196.03866063508957,237.204457575752,111.01529580418551,183.74592517480065,293.17767183505174,183.0541261298498,254.0332194736508,113.3174544545534,217.67607840509496,138.19902103286384,269.8254172727012,235.95178859237,410.22404166669503,131.28260933771574,242.26929228342175,208.73110804196716,240.2161948885592,164.23305454545152,305.8198173906188,119.96604321455402,144.25355571062747,144.75580484847887,177.9961582424146,162.31813992093865,104.74613116882304,419.4209243243356,179.4752799197892,163.5299846666849,331.25043525041934,142.91299164501112,172.6216128727193,201.3071361916013,213.7411509286533,528.5630909090535,163.70535740030792,113.39232626261816,127.29166129031552,287.53440789773526,226.4246636363484,168.3783992685505,230.32618636361508,171.1100540852415,469.64437272728014,168.4455242424281,225.7049969696833,867.4093430830118,137.50454181816804,228.9011984189537,257.10490909091817,113.47385630681912,157.15418222486662,161.40950481818174,298.9252111363492,342.0849110048136,204.4890676767546,106.13463219697336,643.6942532467402,330.0781401515038,260.7221466666526,261.14408770051307,114.90157499999268,224.36061716428415,301.80419396046454,132.1923039545533,168.64681530303184,242.75480965912263,106.316996442696,130.26916384090538,187.08347509738672,170.34724464645993,175.3471741919257,163.73742959280162,500.8347589225444,133.55956363635593,218.9879993938956,132.23196440192288,155.64840545454263,177.72233770751154,248.08849197860224,122.66730598085962,167.79231298796316,165.28702226470295,183.04688051137964,658.4445684210458,401.5737513875538,285.1409850649157,267.8280031964641,511.51788663099074,261.5672121390424,165.98770399349334,222.40636306821892,212.7822130148652,205.0599754545113,121.69263999243532,106.90649647494293,140.4577547272875,128.55733048127632,230.0404999999897,166.43735713066357,212.13224169132496,224.2364696969481,203.2766206909042,159.6088032357274,883.012886630951,116.904902840914,135.32648636364488,258.13263939392505,145.7426481818194,140.58924043886844,211.86341843433928,367.1761852579957,119.83672474747245,325.69509629626225,106.71762027971256,94.69201129032184,301.2180820545306,126.72192153109648,138.61410909090102,173.69643368981568,176.78403896102955,246.3674574520056,184.56779106858068,159.9158352499853,293.4628722291318,283.06331578946003,312.1944851435199,129.95167924243017,169.7680028181831,150.32778771160022,215.27525085453172,244.24387738181343,141.94314318181105,212.314532178914,135.2863506503389,500.3229443181927,445.1169862069266,299.63023973355547,148.48944335662802,342.26618735176334,160.8110609090887,269.39654754443853,135.3303459740095,140.87859682874426,131.3134320213895,149.884239696974,126.1436270813336,Africa,Africa
