ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,0.0,24.030834310850484,15.434606677419332,23.751219470046216,13.594471169354854,26.075449545078783,15.067974788306351,34.48138104838738,15.765347442927991,13.770539270687244,13.875560522273307,13.098433701262197,14.948521645161168,13.52902038709674,20.51710246334309,21.5340666666666,15.025635005973722,13.33403468035186,13.986031214076087,15.148528673835123,14.66970439882702,18.053054177005805,15.457878709677344,14.94138783473263,13.002032919768425,14.263350903225716,16.374791000000098,13.369164046920822,27.001819965126582,19.103812047399742,12.28170430107526,15.490417204301076,32.686983870968064,14.974444773027615,13.618851059907838,13.608962699490656,13.79583603085556,39.60442529711393,28.06726358234309,16.639808690702,20.24624066471162,15.382057849462292,21.396231473408932,19.04078195937884,21.50257945205479,13.872800737096696,16.122171574193377,12.64595110087044,14.39363945905698,24.865461693548557,27.08296941045615
AI,24.030834310850484,0.0,24.570404513196443,31.01857305194818,22.806211931818105,30.953368298368424,23.60561551136364,33.64556250000018,24.21830894755233,23.808530434782483,23.46877142857146,22.13188295256909,23.27932986713287,23.235166310850467,27.71913090909104,28.538730303030096,22.71298989898988,22.839297272727094,23.00580218181821,25.41081673881662,25.315554545454443,24.96310489510492,22.89281818181817,23.73708190535502,22.68605944055942,23.615263974026053,26.311044999999982,23.505930909091,31.484653562653584,27.1763395176253,23.683746823069328,23.644540404040427,42.31906493506488,23.832944130339538,23.013938506493314,23.37409220095702,23.254555312252904,47.45383253588516,34.074832966507245,25.12368005347555,27.4070454545454,23.63131944444429,25.23330712530711,23.343811447811422,28.50873947696141,22.966278186363542,24.479220254545357,23.195053391053357,24.45129348251756,26.525460227272813,29.41879937304076
AR,15.434606677419332,24.570404513196443,0.0,23.98504063594468,13.87469031451613,26.8497567882547,8.090065191532242,32.98667008064511,8.97963643697266,13.712216938288888,12.75688036712745,9.645764695652115,7.7177909230768895,8.81056525806448,14.587746867057634,19.86323547311828,16.47915156152921,9.14370129912018,8.275143346041029,17.38800711674345,12.439977809384123,16.821483181968542,12.500031838709653,10.214831373840015,12.083489593879191,9.589970834101337,14.5814649677419,12.904300137829877,28.82759002702697,21.3439940309414,14.248595387096737,13.12671781720426,32.41134982027642,8.622433511076515,9.189900354838684,9.346589363327642,9.03614935904626,37.54176244651931,24.998128096774163,8.108245717267513,17.854804528836773,10.114486666666654,22.868769978203986,20.114309198327334,20.630053635439705,10.38485001129028,6.728469245161273,14.517886878136144,10.972557535980114,25.570575080645124,28.132319818687375
AW,23.751219470046216,31.01857305194818,23.98504063594468,0.0,22.78831874999996,27.28907280219791,23.780074151785776,33.25308035714308,23.984739493406515,23.15067282608686,23.401441666666717,23.879453279503014,23.47914606593409,25.97106411520738,22.277969848484908,20.58442499999995,28.114581349206457,25.023003467532263,24.036060948052008,25.31683134920629,26.649673051948053,27.202660714285837,24.04806642857152,24.411277759295665,24.29483928571437,24.49225728571434,30.813358714285695,26.389263051948177,30.616358590733658,22.54529336734696,24.19205817972352,23.91671785714288,43.48962500000038,23.91450664716004,24.360461428571245,25.044891315789613,25.61345080124209,49.20804605263208,26.529055000000103,24.150934915966065,22.52649577922083,22.83472880952369,23.572908783783795,29.504618386243475,23.99479476516636,23.04540786818176,23.284496485714158,25.043462301587297,28.024316120879263,32.29390178571445,29.39586637931038
BB,13.594471169354854,22.806211931818105,13.87469031451613,22.78831874999996,0.0,24.479915224358987,13.25736718749995,31.948443749999967,13.700008749999991,11.965507880434847,11.602942559523722,11.608612641304308,13.388691134615286,12.889675814516137,18.001525871212024,18.135327083333333,15.74188171296303,12.882738522727262,12.893521386363512,15.874276091269888,14.639615340909147,18.437716185897468,13.324796249999954,14.395638030821935,11.180423878205207,13.607712821428528,16.598606750000172,12.457808068181848,25.80081672297296,17.97711772959189,12.283219959677426,13.094704861111186,32.9805276785713,13.742120045180751,13.003570892857224,13.075528355263213,13.19494292391312,38.93205296052621,25.38250927631584,14.898942720588211,17.336392992424216,13.90528736111106,20.953442060810765,19.703984490740734,17.706694434931457,12.07533665454537,14.2368009499999,13.808036607142894,14.168956519230704,24.499943749999996,25.95618556034476
BM,26.075449545078783,30.953368298368424,26.8497567882547,27.28907280219791,24.479915224358987,0.0,26.127251033653916,37.18004967948743,26.84105874615375,25.527133110367757,25.435498168498327,25.120894596432453,26.02359048717953,28.07429385773358,28.63346055944069,27.584933333333183,28.188920227920445,27.286453254079,26.74704694638704,26.571299145299147,28.588331701631684,27.784076923077123,26.33688153846165,27.94014187917123,26.446248717948865,27.41106794871802,31.795915461538517,28.265174825174967,31.981310464310702,23.6859450549452,25.85353019023998,25.63355641025656,45.92957875457917,26.943836261044098,27.241395970695784,27.60542624831325,28.03672601560745,51.74750337381965,32.50766654520923,27.20035530920025,27.180993240093247,26.757199658119497,25.74784961884973,28.182102564102763,26.20086821215321,24.908078401048904,26.40669311794861,26.09241514041521,29.660598102564204,33.24326762820543,29.774946065428956
BO,15.067974788306351,23.60561551136364,8.090065191532242,23.780074151785776,13.25736718749995,26.127251033653916,0.0,32.46449843750008,9.514582787499975,13.185347472826017,12.38654779761896,9.607484788043433,8.651340384615393,8.81456644153228,14.638251354166568,19.24010479166663,15.553603402777698,8.63676571590912,7.322518965909112,16.511158616071324,12.682644488636283,16.58287991185894,12.355792499999945,9.641030916095913,11.293017355769177,8.69835460714285,14.09267193749993,12.55232542613629,28.6815845692568,20.93140166454081,14.17132741263432,12.925737048611056,32.43930745535723,8.753030405120462,8.375659464285736,9.242107138157897,8.27397830434786,37.96781210526329,24.90782299342105,8.595953069852934,17.622481496212032,9.609672569444456,22.577568648648622,19.23189171296296,20.40089309075336,10.650905728409034,9.219104150000016,13.831959092261828,10.37994611057693,25.17849531250004,28.32333775862072
BQ,34.48138104838738,33.64556250000018,32.98667008064511,33.25308035714308,31.948443749999967,37.18004967948743,32.46449843750008,0.0,32.90841612307677,32.17976032608672,32.8069398809526,32.934156804347715,32.18987011538478,33.821081048387065,32.2680118939396,30.113337499999744,33.57056250000007,33.26960704545427,32.78842531818198,35.20606448412696,36.351717045454365,35.72528044871822,32.86438750000022,33.50796010273992,32.748838782051415,33.24306821428595,37.74142749999989,33.75270068181832,36.19655236486501,34.802654336734875,34.01860551075264,32.38250416666678,49.65856249999996,32.763685644578224,33.06400178571402,33.85905171052646,33.983219978260706,54.47509539473676,36.01629065789475,32.46029014705838,31.085309469697005,32.11824027777761,32.92355574324344,35.36107175925924,33.01071113013701,32.58007247727276,32.184037099999976,34.223973214285735,35.40343365384636,32.307875000000266,37.76109267241379
BR,15.765347442927991,24.21830894755233,8.97963643697266,23.984739493406515,13.700008749999991,26.84105874615375,9.514582787499975,32.90841612307677,0.0,13.646287269899618,12.854399536629984,9.725425409698952,9.165915484615349,9.921711311414365,15.21119137086243,19.085164299999946,16.50903048746432,10.11881596433562,9.428928383916064,17.740729793772836,12.851105402097865,16.98891763846149,12.685682223076894,10.865234250263413,11.898793792307648,10.419305220879084,14.80779905384608,13.24381766363635,28.914240976922947,21.341090118210285,14.657105742348971,12.695437240170886,32.331642719780035,9.65621646756254,10.118526139560402,10.043124426315726,10.269054320735789,37.77264804089048,24.85079121578945,9.734808426696828,17.607734718647986,10.64685127435894,22.79830328419951,20.26488778319081,20.32857479715489,10.58954810734263,9.787973700000007,14.753503523198956,11.843844961538393,25.686767199999878,28.153284131299596
BS,13.770539270687244,23.808530434782483,13.712216938288888,23.15067282608686,11.965507880434847,25.527133110367757,13.185347472826017,32.17976032608672,13.646287269899618,0.0,11.643565217391238,10.596553956521689,12.658236371237376,12.29443100701259,18.030856231883984,18.66797826086956,15.69209049919489,12.45467445849798,12.15006787351765,16.608115527950353,14.481188537549452,17.85397458193976,12.958782608695657,13.534110309708137,10.677790301003368,12.30752470807449,15.98059400000008,12.10368948616597,27.067450998824707,19.30456291038158,13.14070004675085,13.61360096618358,32.21025838509279,13.042565192771097,12.418969565217433,12.365779794050365,12.426656347826114,38.31715926773424,25.458276544622503,14.348992455242923,16.876193017127736,13.079477705313952,21.25794124559329,18.726294685990283,18.70018737343657,10.638853778458412,13.930374208695536,13.99030697032438,13.916455678929676,23.473949456521623,26.171217991004287
