iso_o,dist
BY_BN,9407.524
BY_BT,5778.131
BY_BW,8749.446
BZ_AW,2076.216
BZ_AO,11578.9
BZ_AL,10230.51
BZ_AE,13913.64
BZ_AR,6604.474
BZ_AM,12023.53
BZ_AG,2865.189
BZ_AU,13821.95
BZ_AT,9671.175
BZ_AZ,12330.6
BZ_BI,13113.72
BZ_BE,8756.743
BZ_BJ,9945.657
BZ_BF,9314.739
BZ_BD,15478.96
BZ_BG,10423.07
BZ_BH,13507.03
BZ_BS,1476.303
BZ_BA,10009.97
BZ_BY,10084.88
BZ_BO,4382.062
BZ_BR,6447.859
BZ_BB,3165.207
BZ_BN,16441.66
BZ_BT,15050.76
BZ_BW,13257.86
BO_AW,3240.231
BO_AO,8830.234
BO_AL,11056.12
BO_AE,14022.32
BO_AR,2239.669
BO_AM,13105.0
BO_AG,3807.266
BO_AU,13045.96
BO_AT,10983.02
BO_AZ,13560.18
BO_BI,10706.86
BO_BE,10261.03
BO_BJ,8183.743
BO_BF,7987.894
BO_BD,17654.77
BO_BG,11369.6
BO_BH,13653.46
BO_BA,11014.66
BO_BB,3426.065
BO_BN,18701.84
BR_AW,4759.608
BR_AO,6559.966
BR_AL,9943.985
BR_AE,12129.45
BR_AR,1691.067
BR_AM,11769.69
BR_AG,4818.193
BR_AU,13371.76
BR_AT,10146.47
BR_AZ,12214.38
BR_BI,8433.928
BR_BE,9665.722
BR_BJ,6291.807
BR_BF,6314.805
BR_BD,15665.7
BR_BG,10267.08
BR_BH,11828.47
BR_BA,10003.96
BR_BO,2380.92
BR_BB,4315.083
BR_BN,17173.37
BB_AW,1139.24
BB_AO,8414.008
BB_AL,8181.91
BB_AE,11741.67
BB_AR,5317.702
BB_AM,10241.7
BB_AG,508.1496
BB_AU,16159.07
BB_AT,7898.038
BB_AZ,10661.57
BB_BA,8057.458
BN_AW,18008.87
BN_AO,11386.53
BN_AL,10082.97
BN_AE,6813.557
BN_AR,16656.76
BN_AM,8007.059
BN_AG,17552.78
BN_AU,5756.495
BN_AT,10241.08
BN_AZ,7562.175
BN_BI,9567.697
BN_BE,11008.65
BN_BJ,12423.57
BN_BF,12766.55
BN_BD,3364.27
BN_BG,9781.081
BN_BH,7216.537
BN_BA,10158.08
BN_BB,17939.34
BT_AW,15070.87
BT_AO,9162.635
BT_AL,6426.47
BT_AE,3539.244
BT_AR,16919.79
BT_AM,4360.26
BT_AG,14193.42
BT_AU,9413.485
BT_AT,6576.896
BT_AZ,3908.661
BT_BI,7325.405
BT_BE,7369.615
BT_BJ,9416.167
BT_BF,9523.353
BT_BD,431.1093
BT_BG,6119.642
BT_BH,3870.436
BT_BS,14016.12
BT_BA,6491.279
BT_BO,17451.82
